Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region
David Pepper,david-pepper,David Pepper,https://davidpepper.substack.com,Newsletter - Substack,,,,,,,Politics,"Cincinnati, OH",Power & Politics,Cincinnati,OH,US,Midwest
David R,david-r,Eat DC,https://x.com/eat_dc,Social - Twitter / X,Video - Instagram,,,,,,Food,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
David Roberts,david-roberts,Volts,https://www.volts.wtf,Newsletter - Substack,Podcast,,,,,,"Climate/Environment, Explanatory, Education, Tech",Washington - US,"Civic Life, Science, Health & Environment, Money & Work, Journalism Formats",,Washington,United States,West
David Robson,david-robson,60-Second Psychology,https://davidrobson.substack.com,Newsletter - Substack,,,,,,,Science,United Kingdom,"Science, Health & Environment",,,United Kingdom,International
David Sirota,david-sirota,The Lever,https://www.levernews.com,Newsletter - Ghost,Social - Twitter / X,http://x.com/davidsirota,,,,,"Investigative, Politics","Denver, CO","Power & Politics, Journalism Formats",Denver,CO,US,West
David Warsh,david-warsh,Economic Principals,https://davidwarsh.substack.com,Newsletter - Substack,,,,,,,Finance/Economics,"Boston, MA",Money & Work,Boston,MA,US,Northeast
David Wildstein,david-wildstein,New Jersey Globe,newjerseyglobe.com,Website,,,,,,,"Politics, Local News",New Jersey - US,"Power & Politics, Civic Life",,NJ,US,Northeast
DC Moms,dc-moms,DC Moms,https://www.instagram.com/dcmoms,Video - Instagram,,,,,,,Parenting,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Dean Lauvina,dean-lauvina,DeanChicago,https://www.tiktok.com/@deanchicago,Video - TikTok,,,,,,,"Local News, Real Estate","Chicago, IL","Civic Life, Money & Work",Chicago,IL,US,Midwest
Deja Foxx,deja-foxx,Gen Z Girl Gang,https://www.instagram.com/genzgirlgang,Video - Instagram,,,,,,,"Culture, Day in a Life, Gender","New York, NY","Social Issues, Culture & Media, Journalism Formats",New York,NY,US,Northeast
Delia Cai,delia-cai,Deez Links,https://www.deezlinks.com,Newsletter - Substack,Social - Twitter / X,https://x.com/delia_cai,,,,,"Media/Power, Internet Culture, Entertainment/Hollywood","New York, NY",Culture & Media,New York,NY,US,Northeast
Dennis Lee,dennis-lee,Food Is Stupid,https://foodisstupid.substack.com,Newsletter - Substack,,,,,,,"Things to do, Recipes, Food, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Derek Guy,derek-guy,Dieworkwear,https://www.instagram.com/die_workwear,Video - Instagram,Social - Twitter / X,https://x.com/dieworkwear,,,,,"Fashion, Politics, Media/Power","San Francisco, CA","Power & Politics, Culture & Media, Lifestyle & Personal Life",San Francisco,CA,US,West
Derek Muller,derek-muller,Veritasium,https://www.youtube.com/@Veritasium,Video - YouTube,,,,,,,Science,"Los Angeles, CA","Science, Health & Environment",Los Angeles,CA,US,West
Derek Thompson,derek-thompson,Derek Thompson,https://www.derekthompson.org,Newsletter - Substack,,,,,,,"Explanatory, General News","Washington, D.C.","General News, Journalism Formats",Washington,D.C.,,
Dermot Cole,dermot-cole,Reporting from Alask,www.dermotcole.com,Website,,,,,,,"Politics, Local News",Alaska - US,"Power & Politics, Civic Life",,AK,US,West
Destin Sandlin,destin-sandlin,SmarterEveryDay,https://www.youtube.com/@smartereveryday,Video - YouTube,,,,,,,"Science, Explanatory",Alabama - US,"Science, Health & Environment, Journalism Formats",,AL,US,South
Devin Stone,devin-stone,LegalEagle,https://www.youtube.com/@LegalEagle,Video - YouTube,,,,,,,Law/Legal Issues,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Dhruv Rathee,dhruv-rathee,Dhruv Rathee,https://www.youtube.com/@dhruvrathee,Video - YouTube,,,,,,,"Politics, World, Culture",India,"Power & Politics, General News, Culture & Media",,,India,International
Diana,diana,Hype Foodies,https://www.instagram.com/hypefoodies,Video - Instagram,Video - TikTok,,,,,,"Restaurants, Travel","Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Diana Butler Bass,diana-butler-bass,The Cottage,https://dianabutlerbass.substack.com,Newsletter - Substack,,,,,,,"Faith/Religion, Culture",National - US,"Social Issues, Culture & Media",,,US,National
Diana Umana,diana-umana,Iadidai,https://www.instagram.com/ladidaix,Video - Instagram,,,,,,,"Culture, Music","New York, NY",Culture & Media,New York,NY,US,Northeast
Dick Tofel,dick-tofel,Second Rough Draft,https://dicktofel.substack.com,Newsletter - Substack,,,,,,,Media/Power,"New York, NY",Culture & Media,New York,NY,US,Northeast
Dina Temple-Raston,dina-temple-raston,Click Here,https://podcasts.apple.com/us/podcast/click-here/id1225077306,Podcast,,,,,,,Tech,"Washington, D.C.",Money & Work,Washington,D.C.,,
Dino-Ray Ramos,dino-ray-ramos,DIASPORA,https://thediasporatimes.com,Website,,,,,,,"Film/Movies, Entertainment/Hollywood, Culture","Los Angeles, CA",Culture & Media,Los Angeles,CA,US,West
Domonique Bazil,domonique-bazil,As Told by Domm,https://www.instagram.com/astoldbydomm,Video - Instagram,,,,,,,"Coffee, Running","Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Don Lemon,don-lemon,Don Lemon,https://www.instagram.com/donlemonofficial,Video - Instagram,Video - TikTok,https://www.tiktok.com/@donlemon?lang=en,,,,,"Politics, General News","New York, NY","Power & Politics, General News",New York,NY,US,Northeast
Dory Jackson,dory-jackson,Dory_Jackson,https://www.tiktok.com/@dory_jackson,Video - TikTok,,,,,,,Film/Movies,National - US,Culture & Media,,,US,National
Doug Lewin,doug-lewin,Texas Energy and Power Newsletter,https://www.texasenergyandpower.com,Newsletter - Substack,Video - YouTube,https://www.youtube.com/@DougLewinEnergy,,,,,"Climate/Environment, Law/Legal Issues, Local News","Austin, TX","Power & Politics, Civic Life, Science, Health & Environment",Austin,TX,US,South
Doug O’Laughlin,doug-olaughlin,Fabricated Knowledge,https://www.fabricatedknowledge.com,Newsletter - Substack,,,,,,,Tech,"Dallas, TX",Money & Work,Dallas,TX,US,South
Doug Shapiro,doug-shapiro,The Mediator,https://dougshapiro.substack.com,Newsletter - Substack,,,,,,,"Media/Power, Finance/Economics",National - US,"Money & Work, Culture & Media",,,US,National
"Dr. Aditi Nerurkar, MD",dr-aditi-nerurkar-md,"Dr. Aditi Nerurkar, MD",https://www.instagram.com/draditinerurkar,Video - Instagram,,,,,,,"Mental Health, Health/Wellness","Boston, MA","Science, Health & Environment",Boston,MA,US,Northeast
Dr. Jen Gunter,dr-jen-gunter,The Vagenda,https://vajenda.substack.com,Newsletter - Substack,Video - Instagram,https://www.instagram.com/drjengunter,,,,,"Health/Wellness, Gender","San Francisco, CA","Social Issues, Science, Health & Environment",San Francisco,CA,US,West
Dr. Jennifer Ashton,dr-jennifer-ashton,Ajenda,https://www.joinajenda.com,Website,Newsletter - Beehiiv,,,,,,"Health/Wellness, Fitness",National - US,"Science, Health & Environment, Lifestyle & Personal Life",,,US,National
Dr. Jessica Knurick,dr-jessica-knurick,Dr. Jessica Knurick,https://www.jessicaknurick.com,Video - Instagram,Newsletter - Substack,,,,,,"Health/Wellness, Food",National - US,"Science, Health & Environment, Lifestyle & Personal Life",,,US,National
Dr. Joel Bervell,dr-joel-bervell,Dr. Joel Bervell,https://www.tiktok.com/@joelbervell,Video - TikTok,Video - YouTube,,,,,,Health/Wellness,National - US,"Science, Health & Environment",,,US,National
Dr. Kiki Sanford,dr-kiki-sanford,This Week in Science,https://youtube.com/@thisweekinscience,Video - YouTube,,,,,,,"Science, Education","Portland, OR","Civic Life, Science, Health & Environment",Portland,OR,US,West
Dr. Shadé Zahrai,dr-shad-zahrai,Dr. Shadé Zahrai,https://www.tiktok.com/@shadezahrai,Video - TikTok,,,,,,,Business,National - US,Money & Work,,,US,National
Dwarkesh Patel,dwarkesh-patel,Dwarkesh Patel,https://www.youtube.com/c/DwarkeshPatel,Video - YouTube,,,,,,,Tech,"San Francisco, CA",Money & Work,San Francisco,CA,US,West
Dylan Burns,dylan-burns,DylanBurnsTV,https://www.youtube.com/channel/UCQghs3tMyfXBFIIpA7DI3eQ,Video - YouTube,,,,,,,"World, National Security",Ukraine,"Power & Politics, General News",,,Ukraine,International
Dylan Page,dylan-page,News Daddy,https://www.tiktok.com/@dylanpage,Video - TikTok,,,,,,,"General News, Explanatory",United Kingdom,"General News, Journalism Formats",,,United Kingdom,International
Eben Shapiro,eben-shapiro,Ebenshapiro.substack,https://ebenshapiro.substack.com,Newsletter - Substack,,,,,,,"Culture, Business, Tech","New York, NY","Money & Work, Culture & Media",New York,NY,US,Northeast
Ed Zitron,ed-zitron,Where's Your Ed At,https://www.wheresyoured.at,Newsletter - Ghost,Social - BlueSky,https://bsky.app/profile/edzitron.com,,,,,Tech,"Las Vegas, NV",Money & Work,Las Vegas,NV,US,West
Edward Ongweso Jr.,edward-ongweso-jr,This Machine Kills,https://www.patreon.com/thismachinekills,Podcast,,,,,,,"Tech, Politics","New York, NY","Power & Politics, Money & Work",New York,NY,US,Northeast
Eileen Ivette,eileen-ivette,Black Latin History,https://www.instagram.com/eileen_ivette,Video - Instagram,Video - TikTok,https://www.tiktok.com/@blacklatinhistory?lang=en,,,,,"History, Travel, Identity/Belonging","New York, NY","Social Issues, Culture & Media, Lifestyle & Personal Life",New York,NY,US,Northeast
Elena Bridgers,elena-bridgers,Elena Bridgers,https://www.instagram.com/elena.bridgers,Video - Instagram,,,,,,,"Mental Health, Dating/Romance",France,"Science, Health & Environment, Lifestyle & Personal Life",,,France,International
Eliot Peper,eliot-peper,The Profile,https://www.theprofile.io,Website,,,,,,,"Media/Power, Business","San Francisco, CA","Money & Work, Culture & Media",San Francisco,CA,US,West
Elise Granata,elise-granata,Grouphug,https://grouphug.substack.com,Newsletter - Substack,Website,https://www.elisegranata.com,,,,,"Media/Power, Local News","New Haven, CT","Civic Life, Culture & Media",New Haven,CT,US,Northeast
Elisha Machado,elisha-machado,Elisha Machado,https://www.tiktok.com/@elishamachadotv,Video - TikTok,,,,,,,"Entertainment/Hollywood, General News",California - US,"General News, Culture & Media",,CA,US,West
Elizabeth Booker Houston,elizabeth-booker-houston,Booker Squared,https://www.instagram.com/bookersquared,Video - Instagram,Video - TikTok,https://www.tiktok.com/@bookersquared,,,,,"Comedy, Law/Legal Issues","Washington, D.C.","Power & Politics, Culture & Media",Washington,D.C.,,
Elizabeth Lang,elizabeth-lang,Impulsiva Stories,https://www.impulsivastories.com,Newsletter - Ghost,,,,,,,"Art, Culture",Costa Rica,Culture & Media,,,,Costa Rica
Elle Cordova,elle-cordova,Elle Cordova,https://www.instagram.com/ellecordova,Video - Instagram,,,,,,,"Internet Culture, Comedy","Los Angeles, CA",Culture & Media,Los Angeles,CA,US,West
Ellen Weatherford,ellen-weatherford,Ellen Weatherford,https://www.tiktok.com/@ellen.weatherford,Video - TikTok,,,,,,,Science,Washington - US,"Science, Health & Environment",,Washington,United States,West
Emanuele Capone,emanuele-capone,Emanuele Capone,https://www.tiktok.com/@capoema,Video - TikTok,,,,,,,"Tech, Internet Culture",Italy,"Money & Work, Culture & Media",,,Italy,International
Emilia Marie,emilia-marie,Emilia Marie Home,https://www.tiktok.com/@emiliamariehome,Video - TikTok,,,,,,,"Design, Lifestyle","Chicago, IL","Culture & Media, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Emilie Raguso,emilie-raguso,The Berkeley Scanner,https://www.berkeleyscanner.com,Newsletter - Ghost,,,,,,,"Crime, Local News","Berkeley, CA",Civic Life,Berkeley,CA,US,West
Emily Fedner,emily-fedner,Emily Fedner,https://www.instagram.com/foodloversdiary,Video - Instagram,Newsletter - Substack,https://emilyfedner.substack.com,,,,,"Food, World","New York, NY","General News, Lifestyle & Personal Life",New York,NY,US,Northeast
Emily Hynds,emily-hynds,Emily Takes Notes,https://www.instagram.com/embaleez,Video - Instagram,Social - Twitter / X,https://x.com/emilytakesnotes,,,,,"Government Accountability, Local News","Houston, TX","Power & Politics, Civic Life",Houston,TX,US,South
Emily Moore,emily-moore,Emily Goes Places,https://www.instagram.com/emilygoesplaces,Video - Instagram,Social - Facebook,,,,,,Travel,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Emily Nunn,emily-nunn,The Department of Salad,https://emilyrnunn.substack.com,Newsletter - Substack,Video - Instagram,,,,,,"Recipes, Food",National - US,Lifestyle & Personal Life,,,US,National
Emily Oster,emily-oster,Parent Data,https://parentdata.org,Website,Video - Instagram,https://www.instagram.com/profemilyoster/?hl=en,,,,,Parenting,Rhode Island - US,Lifestyle & Personal Life,,RI,US,Northeast
Emily Sanders,emily-sanders,Exxon Knews,https://www.exxonknews.org,Newsletter - Substack,,,,,,,Climate/Environment,"Washington, D.C.","Science, Health & Environment",Washington,D.C.,,
Emily Silverman,emily-silverman,The Nocturnists,https://thenocturnists.com,Podcast,,,,,,,"Health/Wellness, Day in a Life","San Francisco, CA","Science, Health & Environment, Journalism Formats",San Francisco,CA,US,West
Emma Grede,emma-grede,Aspire with Emma Grede,https://www.emmagrede.me,Podcast,Video - Instagram,,,,,,Business,National - US,Money & Work,,,US,National
Emma Johnson,emma-johnson,Wealthy Single Mommy,https://www.instagram.com/thejohnsonemma,Video - Instagram,,,,,,,"Careers, Parenting","Richmond, VA","Money & Work, Lifestyle & Personal Life",Richmond,VA,US,South
Enrique Anarte,enrique-anarte,Enrique Anarte,https://www.tiktok.com/@enriqueanartelazo,Video - TikTok,Newsletter - Substack,https://enriqueanartelazo.substack.com,,,,,"Politics, Human Rights, LGBTQIA, World",International,"Power & Politics, Social Issues, General News",,,,International
Eric Blanc,eric-blanc,Labor Politics,https://www.laborpolitics.com,Newsletter - Substack,,,,,,,Labor/Workers Rights,New Jersey - US,Money & Work,,NJ,US,Northeast
Eric Zorn,eric-zorn,The Picayune Sentinel,https://ericzorn.substack.com,Newsletter - Substack,,,,,,,"Government Accountability, Politics, Local News","Chicago, IL","Power & Politics, Civic Life",Chicago,IL,US,Midwest
Erica Noblecilla,erica-noblecilla,Erica Eats Everything,https://www.tiktok.com/@ericaeatseverything,Video - TikTok,,,,,,,"Restaurants, Food, Local News","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest
Erika Harrison,erika-harrison,Black Girls Who Brunch,https://www.tiktok.com/@blackgirlswhobrunch,Video - TikTok,Video - Instagram,,,,,,"Culture, Politics, Identity/Belonging, Activism",National - US,"Power & Politics, Social Issues, Culture & Media",,,US,National
Erin Allmann Updyke,erin-allmann-updyke,This Podcast Will Kill You,https://thispodcastwillkillyou.com,Podcast,,,,,,,"Health/Wellness, History, Science","Chicago, IL","Science, Health & Environment, Culture & Media",Chicago,IL,US,Midwest
Erin Durant,erin-durant,Durant’s Rants,https://durantsrants.substack.com,Newsletter - Substack,,,,,,,"Law/Legal Issues, Politics",Canada,Power & Politics,,,Canada,International
Erin Welsh,erin-welsh,This Podcast Will Kill You,https://thispodcastwillkillyou.com,Podcast,,,,,,,"Health/Wellness, History, Science","Chicago, IL","Science, Health & Environment, Culture & Media",Chicago,IL,US,Midwest
Ernie Svenson,ernie-svenson,Ernie the Attorney,https://www.linkedin.com/in/ernieattorney,Social - LinkedIn,,,,,,,"Law/Legal Issues, Politics, Tech","New Orleans, LA","Power & Politics, Money & Work",New Orleans,LA,US,South
Errol Schweizer,errol-schweizer,The Checkout,https://grocerynerd.substack.com,Newsletter - Substack,,,,,,,"Food, Finance/Economics",National - US,"Money & Work, Lifestyle & Personal Life",,,US,National
Esther Perel,esther-perel,Where Should We Begin?,https://www.estherperel.com,Podcast,Website,,,,,,"Health/Wellness, Mental Health",National - US,"Science, Health & Environment",,,US,National
Ethan Long,ethan-long,Habitual Linecrosser,https://www.tiktok.com/@habitual_linecrosser,Video - TikTok,,,,,,,"Politics, Comedy, Military",National - US,"Power & Politics, Culture & Media",,,US,National
Ethan Mollick,ethan-mollick,One Useful Thing,https://www.oneusefulthing.org,Newsletter - Substack,,,,,,,"Tech, Careers","Philadelphia, PA",Money & Work,Philadelphia,PA,US,Northeast
Ethan Strauss,ethan-strauss,House of Strauss,https://www.houseofstrauss.com,Newsletter - Substack,,,,,,,"Sports, Culture","San Francisco, CA","Culture & Media, Lifestyle & Personal Life",San Francisco,CA,US,West
Eva Schulz,eva-schulz,Eva Schulz,https://www.instagram.com/evaschulz,Video - Instagram,,,,,,,"Politics, General News",Germany,"Power & Politics, General News",,,Germany,International
Evan,evan,PolyMatter,https://www.youtube.com/polymatter,Video - YouTube,,,,,,,Explanatory,National - US,Journalism Formats,,,US,National
Evan George,evan-george,Bostopia,https://www.tiktok.com/@bostopianews,Video - TikTok,,,,,,,"Local News, Politics","Boston, MA","Power & Politics, Civic Life",Boston,MA,US,Northeast
Evan Greer,evan-greer,Evan Greer,https://www.instagram.com/thatevangreer,Video - Instagram,,,,,,,"Tech, LGBTQIA","Boston, MA","Social Issues, Money & Work",Boston,MA,US,Northeast
Evan Hadfield,evan-hadfield,Rare Earth,https://www.youtube.com/channel/UCtGG8ucQgEJPeUPhJZ4M4jA,Video - YouTube,,,,,,,"World, Travel",International,"General News, Lifestyle & Personal Life",,,,International
Evan Shapiro,evan-shapiro,Media War and Peace,https://eshap.substack.com,Newsletter - Substack,,,,,,,"Tech, Media/Power","New York, NY","Money & Work, Culture & Media",New York,NY,US,Northeast
Evan Woodard,evan-woodard,Evan Woodard,https://www.instagram.com/salvagearc,Video - Instagram,,,,,,,History,"Baltimore, MD",Culture & Media,Baltimore,MD,US,South
Eve Batey,eve-batey,Best Evidence,https://buttondown.com/bestevidencefyi,Newsletter - Other,,,,,,,"Crime, Media/Power","San Francisco, CA","Civic Life, Culture & Media",San Francisco,CA,US,West
Felipe De La Hoz,felipe-de-la-hoz,Borderlines,https://borderlines.substack.com,Newsletter - Substack,,,,,,,Immigration,"New York, NY",Social Issues,New York,NY,US,Northeast
Fernando Hurtado,fernando-hurtado,In the Hyphen,https://www.youtube.com/@byfernandoh,Video - YouTube,,,,,,,"Identity/Belonging, Culture","Los Angeles, CA","Social Issues, Culture & Media",Los Angeles,CA,US,West
Flo Lloyd-Hughes,flo-lloyd-hughes,Flo Lloyd-Hughes,https://www.instagram.com/floydinsta,Video - Instagram,,,,,,,Sports,United Kingdom,Lifestyle & Personal Life,,,United Kingdom,International
Florian Sohnke,florian-sohnke,Chicago Contrarian,https://www.chicagocontrarian.com,Website,,,,,,,"Government Accountability, Politics, Local News, Crime","Chicago, IL","Power & Politics, Civic Life",Chicago,IL,US,Midwest
Foolish Baseball,foolish-baseball,Foolish Baseball,https://www.youtube.com/c/FoolishBaseball,Video - YouTube,,,,,,,Sports,National - US,Lifestyle & Personal Life,,,US,National
Francesca Fiorentini,francesca-fiorentini,The Bitchuation Room,https://www.youtube.com/@franifio,Video - YouTube,Video - Twitch,,,,,,"Comedy, Politics","Los Angeles, CA","Power & Politics, Culture & Media",Los Angeles,CA,US,West
Frank Shyong,frank-shyong,Lunch Box,https://frankbear.substack.com,Newsletter - Substack,Social - Twitter / X,https://x.com/frankshyong,,,,,"Food, Identity/Belonging, Local News","Los Angeles, CA","Social Issues, Civic Life, Lifestyle & Personal Life",Los Angeles,CA,US,West
Fred Wilson,fred-wilson,AVC,https://avc.xyz,Website,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Gabe Fleisher,gabe-fleisher,Wake Up To Politics,https://www.instagram.com/wakeupolitics,Video - Instagram,,,,,,,Politics,"Washington, D.C.",Power & Politics,Washington,D.C.,,
Gabrielle Judge,gabrielle-judge,Ms. Anti Work,https://www.instagram.com/msantiwork,Video - Instagram,,,,,,,Culture,"Fort Collins, CO",Culture & Media,Fort Collins,CO,US,West
Gaby Del Valle,gaby-del-valle,Borderlines,https://borderlines.substack.com,Newsletter - Substack,,,,,,,Immigration,"Jacksonville, FL",Social Issues,Jacksonville,FL,US,South
Garrett Bucks,garrett-bucks,The White Pages,https://thewhitepages.net,Newsletter - Substack,Video - Instagram,,,,,,"Local News, Activism, Politics",Wisconsin - US,"Power & Politics, Social Issues, Civic Life",,WI,US,Midwest
Garrett Graff,garrett-graff,Doomsday Scenario,https://www.doomsdayscenario.co,Newsletter - Beehiiv,Social - Twitter / X,https://x.com/vermontgmg?lang=en,,,,,"History, National Security, Politics","Burlington, VT","Power & Politics, Culture & Media",Burlington,VT,US,Northeast
Gary Marcus,gary-marcus,Marcus on AI,https://garymarcus.substack.com,Newsletter - Substack,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast
Gaspard G,gaspard-g,Gaspard G,https://www.youtube.com/@GaspardG,Video - YouTube,,,,,,,General News,France,General News,,,France,International
Gene Weingarten,gene-weingarten,The Gene Pool,https://geneweingarten.substack.com,Newsletter - Substack,,,,,,,"Comedy, General News","Washington, D.C.","General News, Culture & Media",Washington,D.C.,,
Geo Global Tales,geo-global-tales,Geo Global Tales,https://youtube.com/shorts/gPiNVQT4Awk,Video - YouTube,,,,,,,"World, Explanatory",International,"General News, Journalism Formats",,,,International
Geoffrey A. Fowler,geoffrey-a-fowler,Geoffrey A. Fowler,https://geoffreyafowler.substack.com,Newsletter - Substack,,,,,,,Tech,"Washington, D.C.",Money & Work,Washington,D.C.,,
Geopolitical Guy,geopolitical-guy,Geopolitical Guy,https://geopoliticalguy.substack.com,Newsletter - Substack,Video - Instagram,https://www.instagram.com/geopolitical.guy,,,,,"World, Explanatory",International,"General News, Journalism Formats",,,,International
Georgia Fort,georgia-fort,Georgia Fort,https://www.facebook.com/ByGeorgiaFort,Social - Facebook,,,,,,,"General News, Local News, Politics","Minneapolis, MN","Power & Politics, Civic Life, General News",Minneapolis,MN,US,Midwest
Gideon Meyerowitz-Katz,gideon-meyerowitz-katz,Health Nerd,https://gidmk.substack.com,Newsletter - Substack,Social - BlueSky,,,,,,"Health/Wellness, Science",Australia,"Science, Health & Environment",,,Australia,International
Gillian Morris,gillian-morris,Super Nuclear,https://supernuclear.substack.com,Newsletter - Substack,,,,,,,"Lifestyle, Home","New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast
Gina Chua,gina-chua,(Re)structured News,https://restructurednews.substack.com,Newsletter - Substack,,,,,,,Media/Power,"New York, NY",Culture & Media,New York,NY,US,Northeast
Ginny Yurich,ginny-yurich,1000 Hours Outside,https://1000hoursoutside.com,Podcast,,,,,,,"Outdoors, Family, Parenting",Michigan - US,Lifestyle & Personal Life,,MI,US,Midwest
Glenn Greenwald,glenn-greenwald,System Update,https://x.com/ggreenwald,Social - Twitter / X,Social - Rumble,,,,,,"National Security, Government Accountability",Brazil,Power & Politics,,,Brazil,International
Glenn Kessler,glenn-kessler,By Glenn Kessler,https://glennkessler.substack.com,Newsletter - Substack,,,,,,,"Media/Power, Politics","Washington, D.C.","Power & Politics, Culture & Media",Washington,D.C.,,
Grace Andrews,grace-andrews,Grace Andrews,https://www.tiktok.com/@grace.andrewsss,Video - TikTok,,,,,,,"Travel, Lifestyle","Chicago, IL",Lifestyle & Personal Life,Chicago,IL,US,Midwest
Graciela Martin,graciela-martin,Gen33 News,https://gen33news.beehiiv.com,Newsletter - Beehiiv,,,,,,,"World, Culture, Fashion",United Kingdom,"General News, Culture & Media, Lifestyle & Personal Life",,,United Kingdom,International
Grady Hillhouse,grady-hillhouse,Practical Engineering,https://practical.engineering,Website,,,,,,,Science,Texas - US,"Science, Health & Environment",,TX,US,South
Grant Sanderson,grant-sanderson,3Blue1Brown,https://www.youtube.com/@3blue1brown,Video - YouTube,,,,,,,Science,Utah - US,"Science, Health & Environment",,UT,US,West
Greg Hartley,greg-hartley,The Behavior Panel,https://www.youtube.com/@thebehaviorpanel,Video - YouTube,,,,,,,"Politics, General News, Crime",National - US,"Power & Politics, Civic Life, General News",,,US,National
Greg Nix,greg-nix,Chortle,https://www.chortle.blog,Newsletter - Substack,,,,,,,Comedy,"Los Angeles, CA",Culture & Media,Los Angeles,CA,US,West
Greg Palast,greg-palast,Greg Palast Investigations,https://www.gregpalast.com,Website,,,,,,,"Investigative, Politics","Los Angeles, CA","Power & Politics, Journalism Formats",Los Angeles,CA,US,West
Gregory Foster,gregory-foster,Cannabis Observer,https://cannabis.observer,Website,,,,,,,"Policy, Politics, Agriculture, Local News",Washington - US,"Power & Politics, Civic Life",,Washington,United States,West
H Kapp-Klote,h-kapp-klote,The Chicago 312,https://hs-newsletter-e91163.beehiiv.com,Newsletter - Beehiiv,,,,,,,"Government Accountability, Politics, Local News, Local News","Chicago, IL","Power & Politics, Civic Life",Chicago,IL,US,Midwest
Haley Lickstein,haley-lickstein,haleysonthego,https://www.instagram.com/haleylickstein,Video - Instagram,Podcast,,,,,,"Activism, Politics, Identity/Belonging",National - US,"Power & Politics, Social Issues",,,US,National
Hamilton Nolan,hamilton-nolan,How Things Work,https://www.hamiltonnolan.com,Newsletter - Substack,Social - Twitter / X,https://x.com/hamiltonnolan?lang=en,,,,,Media/Power,National - US,Culture & Media,,,US,National
Hank Green,hank-green,Vlog Brothers,https://hankgreen.com,Video - YouTube,Video - Instagram,,,,,,"Explanatory, Science",National - US,"Science, Health & Environment, Journalism Formats",,,US,National
Hank Medina,hank-medina,Litquidity,https://www.instagram.com/litquidity,Video - Instagram,,,,,,,Finance/Economics,"Miami, FL",Money & Work,Miami,FL,US,South
Hanna Raskin,hanna-raskin,The Food Section,https://thefoodsection.com,Website,,,,,,,"Food, Local News","Macon, GA","Civic Life, Lifestyle & Personal Life",Macon,GA,US,South
Hannah Gaber,hannah-gaber,Jew-ish,https://jew-ish.buzzsprout.com,Podcast,,,,,,,Identity/Belonging,"Washington, D.C.",Social Issues,Washington,D.C.,,
Hannah Ritchie,hannah-ritchie,Hannah Ritchie,https://hannahritchie.substack.com,Newsletter - Substack,,,,,,,"Climate/Environment, Explanatory",United Kingdom,"Science, Health & Environment, Journalism Formats",,,United Kingdom,International
Hasan Minhaj,hasan-minhaj,Hasan Minhaj,https://www.instagram.com/hasanminhaj,Video - Instagram,,,,,,,"Politics, Comedy","Los Angeles, CA","Power & Politics, Culture & Media",Los Angeles,CA,US,West
Hasan Piker,hasan-piker,HasanAbi,https://www.twitch.tv/hasanabi,Video - Twitch,Video - YouTube,,,,,,"Politics, Culture, World","Los Angeles, CA","Power & Politics, General News, Culture & Media",Los Angeles,CA,US,West
Heather Cox Richardson,heather-cox-richardson,Letters from an American,https://heathercoxrichardson.substack.com,Newsletter - Substack,Video - Instagram,,,,,,"Politics, History, Government Accountability",Maine - US,"Power & Politics, Culture & Media",,ME,US,Northeast
Hebba Youssef,hebba-youssef,I Hate It Here,https://ihateithere.substack.com,Newsletter - Substack,,,,,,,Culture,National - US,Culture & Media,,,US,National
Helena Bottemiller Evich,helena-bottemiller-evich,Food Fix,https://foodfix.co,Newsletter - Other,,,,,,,Food,"Washington, D.C.",Lifestyle & Personal Life,Washington,D.C.,,
Henok Mengistu,henok-mengistu,Ethiopique,https://ethiopique.com,Website,,,,,,,Local News,"Washington, D.C.",Civic Life,Washington,D.C.,,
Henry Reich,henry-reich,MinutePhysics,https://www.youtube.com/@MinutePhysics,Video - YouTube,,,,,,,Science,National - US,"Science, Health & Environment",,,US,National
Herb Greenberg,herb-greenberg,On the Street,https://www.herbgreenberg.com,Newsletter - Substack,,,,,,,Finance/Economics,"San Diego, CA",Money & Work,San Diego,CA,US,West
Hetty Lui McKinnon,hetty-lui-mckinnon,"To Vegetables, With Love",https://hettymckinnon.substack.com,Newsletter - Substack,Video - Instagram,https://www.instagram.com/hettymckinnon/reels,,,,,Food,"New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast
