Creator Name,slug,Creator Channel,Link Primary,Platform Primary,Platform 2 Name,Platform 2 Link,Platform 3 Name,Platform 3 Link,Platform 4 Name,Platform 4 Link,Topic/Category,Geography,Groups,Geo City,Geo State,Geo Country,Geo Region,Partner Lists
Bill McKibben,bill-mckibben,The Crucial Years,https://billmckibben.substack.com,Newsletter - Substack,Website,https://billmckibben.com,Social - BlueSky,https://bsky.app/profile/billmckibben.bsky.social,,,"Climate/Environment, Politics, Government Accountability, Activism",Vermont - US,"Power & Politics, Social Issues, Science Health & Environment",,VT,US,Northeast,
Bill Nye,bill-nye,Bill Nye,https://www.billnye.com,Website,Social - Twitter / X,https://x.com/BillNye,,,,,Science,National - US,Science Health & Environment,,,US,National,
Bill Oakley,bill-oakley,That Bill Oakley,https://www.instagram.com/thatbilloakley,Video - Instagram,,,,,,,Food,"Portland, OR",Lifestyle & Personal Life,Portland,OR,US,West,
Bill Spindle,bill-spindle,The Energy Adventure(r),https://billspindle.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/billspindle.bsky.social,,,,,"Climate/Environment, Energy","New York, NY",Science Health & Environment,New York,NY,US,Northeast,
Billy Zureikat,billy-zureikat,,https://instagram.com/therealbillyz,Social - Instagram,Video - TikTok,https://www.tiktok.com/@therealbillyz_,,,,,Restaurants and bars,"Chicago, IL",Lifestyle & Personal Life,Chicago,IL,US,Midwest,
Bisan Owda,bisan-owda,Bisan Owda,https://www.instagram.com/bisan_owda,Video - Instagram,,,,,,,"World, Culture, History",Palestine,"General News, Culture & Media",,,PS,International,
Bite Sized DC,bite-sized-dc,Bite Sized DC,https://www.instagram.com/bitesized.dc/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@bitesized.dc,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Blair Imani,blair-imani,Smarter in Seconds,https://www.instagram.com/blairimani/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@blairimani,Social - BlueSky,https://bsky.app/profile/blairimani.bsky.social,,,Identity/Belonging,"Los Angeles, CA",Social Issues,Los Angeles,CA,US,West,
Blake Chastain,blake-chastain,The Post-Evangelical Post / Exvangelical,https://www.postevangelicalpost.com,Podcast,Social - BlueSky,https://bsky.app/profile/brchastain.social,,,,,Faith/Religion,"Chicago, IL",Social Issues,Chicago,IL,US,Midwest,
Blane Bachelor,blane-bachelor,Blane Bachelor,https://blanebachelor.substack.com,Newsletter - Substack,,,,,,,"Travel, Transportation","Amsterdam, Netherlands","Civic Life, Lifestyle & Personal Life",Amsterdam,,NL,International,Institute_for_Independent_Journalists
Blessing Adesiyan,blessing-adesiyan,The Care Gap,https://www.instagram.com/thecaregap,Video - Instagram,,,,,,,"Parenting, Gender, Culture",New York - US,"Social Issues, Culture & Media, Lifestyle & Personal Life",,NY,US,Northeast,
Blog A Bull,blog-a-bull,Blogabull.com,https://www.blogabull.com,Newsletter - Substack,,,,,,,"Sports, Local","Chicago, IL","Civic Life, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
Bob Garfield,bob-garfield,,https://bullypulpit.substack.com/,Newsletter - Substack,Podcast,https://podcasts.apple.com/us/podcast/bully-pulpit/id1576565924,,,,,Media/Power,,Culture & Media,,,,,
Bob Kronbauer,bob-kronbauer,BC Bob,https://www.instagram.com/bobkronbauer,Video - Instagram,,,,,,,"History, Culture",Canada,Culture & Media,,,CA,International,
Bobby LaPin,bobby-lapin,saillocal,https://www.instagram.com/saillocal,Video - Instagram,,,,,,,Outdoors,"Baltimore, MD",Lifestyle & Personal Life,Baltimore,MD,US,South,
Bobby Ross Jr.,bobby-ross-jr,Religion Unplugged's Weekend Plug-In,https://weekendplugin.substack.com,Newsletter - Substack,Website,https://religionunplugged.com,,,,,"Faith/Religion, Media/Power",Oklahoma - US,"Social Issues, Culture & Media",,OK,US,South,
Boone Hogg,boone-hogg,Stick Reviews,https://www.instagram.com/officialstickreviews,Video - Instagram,,,,,,,"World, Internet Culture, Outdoors",Utah - US,"General News, Culture & Media, Lifestyle & Personal Life",,UT,US,West,
Brace Belden,brace-belden,TrueAnon Podcast,https://podcast.trueanon.com/,Podcast,Patreon,https://www.patreon.com/cw/TrueAnonPod,,,,,"Government Accountability, Media/Power",National - US,"Power & Politics, Culture & Media",,,US,National,
Brad DeLong,brad-delong,Grasping Reality,https://braddelong.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/braddelong.bsky.social,,,,,"Finance/Economics, History",California - US,"Money & Work, Culture & Media",,CA,US,West,
Brad Stulberg,brad-stulberg,,https://www.instagram.com/bradstulberg/,Social - Instagram,Newsletter - Substack,https://www.bradstulberg.org,,,,,Self-Help,"Asheville, NC",Lifestyle & Personal Life,Asheville,NC,US,South,
Bradley Onishi,bradley-onishi,Straight White American Jesus,https://www.straightwhiteamericanjesus.com,Podcast,,,,,,,Faith/Religion,"San Francisco, CA",Social Issues,San Francisco,CA,US,West,
Brady Dale,brady-dale,Front Stage Exit,https://www.frontstageexit.com,Newsletter - Substack,,,,,,,Tech,"New York, NY",Money & Work,New York,NY,US,Northeast,
Branden Andersen,branden-andersen,Newsberg,https://newsberg.org,Website,Video - Instagram,https://www.instagram.com/newsberg_,Social - Facebook,https://www.facebook.com/newsbergmedia,Social - BlueSky,https://bsky.app/profile/newsberg.org.bsky.social,Local,Oregon - US,Civic Life,,OR,US,West,
Brandon Chew,brandon-chew,Chew's News,https://brandonchew.substack.com/,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/brandonmichew.bsky.social,,,,,"Politics, Labor/Workers Rights, Local","Chicago, IL","Power & Politics, Civic Life, Money & Work",Chicago,IL,US,Midwest,
Brandon Ewing,brandon-ewing,Lemonade Stand,https://www.youtube.com/@LemonadeStandPodcast,Video - YouTube,Podcast,https://podcasts.apple.com/ie/podcast/lemonade-stand/id1799868725,,,,,"Finance/Economics, Tech, Business",National - US,Money & Work,,,US,National,
Brandon Jarvis,brandon-jarvis,Virginia Scope,https://virginiascope.com,Website,Newsletter - Substack,https://virginiapoliticalnewsletter.substack.com,,,,,"Politics, Government Accountability",Virginia - US,Power & Politics,,VA,US,South,
Brandon Perna,brandon-perna,Thats Good Sports,https://www.youtube.com/@thatsgoodsports,Video - YouTube,,,,,,,Sports,National - US,Lifestyle & Personal Life,,,US,National,
Brandy,brandy,Brandy,https://www.instagram.com/the.belist/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@the.belist,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Branislava Lovre,branislava-lovre,AImpactful,https://aimpactful.com,Website,,,,,,,"Tech, Media/Power",Serbia,"Money & Work, Culture & Media",,,,Serbia,
Branko Milanovic,branko-milanovic,Global Inequality and More 3.0,https://branko2f7.substack.com,Newsletter - Substack,,,,,,,"World, Finance/Economics","New York, NY","Money & Work, General News",New York,NY,US,Northeast,
BRB Drooling,brb-drooling,BRB Drooling,https://www.instagram.com/brbdrooling/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@brbdrooling,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Breanna Morello,breanna-morello,Independent Newsroom,https://independentnewsroom.com,Newsletter - Beehiiv,Social - Twitter / X,https://x.com/BreannaMorello?lang=en,,,,,"Media/Power, Politics",Texas - US,"Power & Politics, Culture & Media",,TX,US,South,
Brett Bristow,brett-bristow,Tech with Brett,https://www.youtube.com/@TechWithBrett,Video - YouTube,,,,,,,Tech,Utah - US,Money & Work,,UT,US,West,
Brett Cooper,brett-cooper,THE SCROLL,https://brettcooper.beehiiv.com,Newsletter - Beehiiv,Video - YouTube,https://www.youtube.com/@bbrettcooper,Social - BlueSky,https://bsky.app/profile/brettcooperrp.bsky.social,,,"Politics, Culture","Nashville, TN","Power & Politics, Culture & Media",Nashville,TN,US,South,
Brett Dashevsky,brett-dashevsky,Creator Economy NYC,https://mail.creatoreconomynyc.com,Newsletter - Beehiiv,,,,,,,Business,"New York, NY",Money & Work,New York,NY,US,Northeast,
Brett Kollmann,brett-kollmann,Brett Kollmann,https://www.youtube.com/@BrettKollmann,Video - YouTube,Social - BlueSky,https://bsky.app/profile/brettkollmann.bsky.social,,,,,Sports,National - US,Lifestyle & Personal Life,,,US,National,
Briahna Joy Gray,briahna-joy-gray,Bad Faith,https://www.youtube.com/@BadFaithPodcast,Video - YouTube,Social - Twitter / X,https://x.com/briebriejoy,,,,,"Politics, Culture","Washington, DC","Power & Politics, Culture & Media",Washington,DC,US,Mid-Atlantic,
Brian Albrecht,brian-albrecht,Economic Forces,https://www.economicforces.xyz,Newsletter - Substack,,,,,,,Finance/Economics,Oregon - US,Money & Work,,OR,US,West,
Brian Beutler,brian-beutler,Off Message,https://www.offmessage.net/subscribe,Newsletter - Other,Social - BlueSky,https://bsky.app/profile/brianbeutler.bsky.social,,,,,"Politics, Media/Power",National - US,"Power & Politics, Culture & Media",,,US,National,
Brian Hansbury,brian-hansbury,Public Enlightenment,https://www.publicenlightenment.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/brianhansbury.bsky.social,,,,,"Media/Power, Business","New York, NY","Money & Work, Culture & Media",New York,NY,US,Northeast,
Brian Howey,brian-howey,Brian Howey,https://x.com/hwypol,Social - Twitter / X,,,,,,,"Politics, Local",Indiana - US,"Power & Politics, Civic Life",,IN,US,Midwest,
Brian Keating,brian-keating,,https://briankeating.com,Podcast,,,,,,,Science,"San Diego, CA",Science Health & Environment,San Diego,CA,US,West,
Brian Krebs,brian-krebs,Krebs on Security,https://krebsonsecurity.com,Website,,,,,,,Tech,"Washington, DC",Money & Work,Washington,DC,US,Mid-Atlantic,
Brian Merchant,brian-merchant,Blood in the Machine,https://www.bloodinthemachine.com,Newsletter - Substack,Podcast,https://www.bloodinthemachine.com/podcast,Social - BlueSky,https://bsky.app/profile/bcmerchant.bsky.social,,,Tech,"Los Angeles, CA",Money & Work,Los Angeles,CA,US,West,
Brian Morrissey,brian-morrissey,The Rebooting,https://www.therebooting.com,Newsletter - Beehiiv,,,,,,,"Media/Power, Tech","New York, NY","Money & Work, Culture & Media",New York,NY,US,Northeast,
Brian Oliver,brian-oliver,briankoliver,https://www.instagram.com/briankoliver,Video - Instagram,,,,,,,Things to Do,"Baltimore, MD",Lifestyle & Personal Life,Baltimore,MD,US,South,
Brian Potter,brian-potter,Construction Physics,https://www.construction-physics.com,Newsletter - Substack,,,,,,,"Business, Construction","Atlanta, GA","Civic Life, Money & Work",Atlanta,GA,US,South,
Brian Read,brian-read,Automate Your Life,https://www.youtube.com/@AutomateYourLife,Video - YouTube,,,,,,,Tech,Canada,Money & Work,,,CA,International,
Brian Reed,brian-reed,Question Everything,https://questioneverything.substack.com,Podcast,Social - BlueSky,https://bsky.app/profile/brihreed.bsky.social,,,,,Media/Power,"New York, NY",Culture & Media,New York,NY,US,Northeast,
Brian Skinner,brian-skinner,Marin Buzz,https://marinbuzz.com,Newsletter - Beehiiv,,,,,,,"Local, Things to Do","Marin, CA","Civic Life, Lifestyle & Personal Life",Marin,CA,US,West,
Brian Sumers,brian-sumers,,https://www.theairlineobserver.com,Newsletter - Substack,Social - Twitter / X,https://x.com/briansumers,Social - LinkedIn,https://www.linkedin.com/in/briansumers/,,,Transportation,,Civic Life,,,,,
Brian Tyler Cohen,brian-tyler-cohen,Brian Tyler Cohen,https://www.youtube.com/@briantylercohen,Video - YouTube,Social - BlueSky,https://bsky.app/profile/briantylercohen.bsky.social,,,,,Politics,"Los Angeles, CA",Power & Politics,Los Angeles,CA,US,West,
Brian Wieser,brian-wieser,Madison and Wall,https://madisonandwall.substack.com/,Newsletter - Substack,,,,,,,Media/Power,"Portland, OR",Culture & Media,Portland,OR,US,West,
Briana Houston,briana-houston,Chef Bri,https://www.tiktok.com/@tastesofbri,Video - TikTok,,,,,,,"Recipes, Food, Health/Wellness","Chicago, IL","Science Health & Environment, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
Brianna Wickey,brianna-wickey,Scoop Charlotte,https://www.scoopcharlotte.com,Newsletter - Beehiiv,,,,,,,"Local, Home, Lifestyle, Real Estate","Charlotte, NC","Civic Life, Money & Work, Lifestyle & Personal Life",Charlotte,NC,US,South,
Bridget Todd,bridget-todd,Bridget Todd,https://www.instagram.com/bridgetmarieindc/,Social - Instagram,Social - Twitter / X,https://x.com/BridgetMarie,Social - BlueSky,https://bsky.app/profile/bridgettodd.bsky.social,Website,https://therearemonsters.com/,Tech,"Washington, DC",Money & Work,Washington,DC,US,Mid-Atlantic,
Brinda Sharma,brinda-sharma,Brinda Sharma,https://www.instagram.com/brindasharma,Social - Instagram,,,,,,,Travel,India,Lifestyle & Personal Life,,,IN,International,
Brissa Pabón,brissa-pabon,Explainer Noticias,https://www.tiktok.com/@brissapabon,Social - TikTok,Social - Facebook,https://www.facebook.com/p/Brissa-Pabon-100088505291004,,,,,"General News, Explanatory",Bolivia,"General News, Journalism Formats",,,,Bolivia,Global_South_World
Britt Wray,britt-wray,Unthinkable,https://unthinkable.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/brittwray.bsky.social,,,,,Climate/Environment,"Palo Alto, CA",Science Health & Environment,Palo Alto,CA,US,West,
Brittney McNamara,brittney-mcnamara,La Fronde,https://la-fronde.com/,Newsletter - Beehiiv,Social - BlueSky,https://bsky.app/profile/brittneymac15.bsky.social,,,,,"Media/Power, Gender",National - US,"Social Issues, Culture & Media",,,US,National,
Brody Mullins,brody-mullins,The Deciders,https://www.535.news,Website,,,,,,,"Politics, Government Accountability","Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Brou Quinn,brou-quinn,215phillyfood,https://www.instagram.com/215phillyfood,Social - Instagram,,,,,,,"Food, Local","Philadelphia, PA","Civic Life, Lifestyle & Personal Life",Philadelphia,PA,US,Northeast,
Bruce Maples,bruce-maples,Forward Kentucky,https://ForwardKY.com,Website,,,,,,,"Politics, Local","Louisville, KY","Power & Politics, Civic Life",Louisville,KY,US,South,
Bruce Schneier,bruce-schneier,Schneier on Security,https://www.schneier.com,Website,,,,,,,Tech,"Boston, MA",Money & Work,Boston,MA,US,Northeast,
Bruce Unfiltered,bruce-unfiltered,Bruce Unfiltered,https://www.youtube.com/@BruceUnfiltered,Video - YouTube,Social - Instagram,https://www.instagram.com/bruceunfiltered/,,,,,Politics,UK,Power & Politics,,,GB,International,
Bryan Anderson,bryan-anderson,Anderson Alerts,andersonalerts.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/bryanranderson.bsky.social,,,,,"Politics, Local",North Carolina - US,"Power & Politics, Civic Life",,NC,US,South,
Bryan M. Vance,bryan-m-vance,Stumptown Savings,https://stumptownsavings.com,Newsletter - Beehiiv,,,,,,,"Finance/Economics, Local","Portland, OR","Civic Life, Money & Work",Portland,OR,US,West,
Bryan Schott,bryan-schott,Utah Political Watch,https://utahpolitics.news,Newsletter - Ghost,Social - BlueSky,https://bsky.app/profile/schotthappens.com,,,,,"Politics, Local",Utah - US,"Power & Politics, Civic Life",,UT,US,West,
Bryce Covert,bryce-covert,Bryce Covert,https://mailchi.mp/39215d5120eb/sign-up-for-bryce-coverts-newsletter,Newsletter - Other,,,,,,,"Finance/Economics, Labor/Workers Rights","New York, NY",Money & Work,New York,NY,US,Northeast,
"Burcin ""Kaia"" Dalkanat",burcin-kaia-dalkanat,"Burcin ""Kaia"" Dalkanat",https://www.instagram.com/myfoodadventuresdc/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@myfoodadventuresdc,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Byrne Hobart,byrne-hobart,The Diff,https://www.thediff.co,Newsletter - Other,,,,,,,"Finance/Economics, Tech","Austin, TX",Money & Work,Austin,TX,US,South,
Cahal Moran,cahal-moran,Unlearning Economics,https://www.youtube.com/@unlearningeconomics9021,Video - YouTube,,,,,,,Finance/Economics,United Kingdom,Money & Work,,,GB,International,
Caitlin Dewey,caitlin-dewey,Links I Would GChat You If We Were Friends,https://linksiwouldgchatyou.substack.com,Newsletter - Substack,,,,,,,Internet Culture,National - US,Culture & Media,,,US,National,
Caitlin Gilbert,caitlin-gilbert,Wrong Number,https://caitlinsgilbert.com,Newsletter - Beehiiv,,,,,,,General News,"New York, NY",General News,New York,NY,US,Northeast,
Caitlin Johnstone,caitlin-johnstone,Caitlin Johnstone,https://www.caitlinjohnst.one,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/caitoz.bsky.social,,,,,"Politics, Media/Power, World",Australia,"Power & Politics, General News, Culture & Media",,,AU,International,
Caitlin Rivers,caitlin-rivers,Force of Infection,https://caitlinrivers.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/cmyeaton.bsky.social,,,,,Health/Wellness,United Kingdom,Science Health & Environment,,,GB,International,
Caitlin Schmidt,caitlin-schmidt,Tucson Spotlight,https://www.tucsonspotlight.org,Website,Video - Instagram,https://www.instagram.com/caitlincschmidt,,,,,Entertainment/Hollywood,"Atlanta, GA",Culture & Media,Atlanta,GA,US,South,
Cal Newport,cal-newport,Deep Questions with Cal Newport,https://www.calnewport.com,Podcast,Newsletter - Other,,,,,,"Careers, Self-Help","Takoma Park, MD","Money & Work, Lifestyle & Personal Life",Takoma Park,MD,US,South,
Caleb Hammer,caleb-hammer,Caleb Hammer,https://www.youtube.com/@calebhammer,Video - YouTube,Social - BlueSky,https://bsky.app/profile/chipmonkfunk.bsky.social,,,,,Personal Finance,"Austin, TX",Money & Work,Austin,TX,US,South,
Caleb Harmon-Marshall,caleb-harmon-marshall,Gate Access,https://www.tiktok.com/@travelwiththeharmony,Video - TikTok,Newsletter - Substack,https://gateaccess.substack.com,,,,,Travel,"Atlanta, GA",Lifestyle & Personal Life,Atlanta,GA,US,South,
Cam Rodriguez,cam-rodriguez,foiaday,buttondown.com/foiaday,Newsletter - Other,Social - BlueSky,https://bsky.app/profile/camrodriguez.bsky.social,,,,,"Investigative, Data Visualization, Government Accountability","Chicago, IL","Power & Politics, Journalism Formats",Chicago,IL,US,Midwest,
Cam Vargas,cam-vargas,Arguably,https://www.arguably.uk,Newsletter - Substack,,,,,,,Politics,"London, UK",Power & Politics,London,,UK,International,
Cameron Cowan,cameron-cowan,The Cameron Journal,https://www.cameronjournal.com,Website,,,,,,,Culture,National - US,Culture & Media,,,US,National,
Cameron Murray,cameron-murray,Fresh Economic Thinking,https://www.fresheconomicthinking.com,Newsletter - Substack,,,,,,,Urban Planning,Australia,Civic Life,,,AU,International,
Camille Copeland,camille-copeland,Generocity,https://generocity.org,Website,,,,,,,Education,"Los Angeles, CA",Civic Life,Los Angeles,CA,US,West,
Candace Owens,candace-owens,Candace Owens,https://www.youtube.com/@RealCandaceO,Video - YouTube,Social - Twitter / X,https://x.com/RealCandaceO,Social - BlueSky,https://bsky.app/profile/realcandaceowens.bsky.social,,,Politics,National - US,Power & Politics,,,US,National,
Cara Goodwin,cara-goodwin,Parenting Translator,https://parentingtranslator.substack.com,Newsletter - Substack,,,,,,,Parenting,"Charlottesville, VA",Lifestyle & Personal Life,Charlottesville,VA,US,South,
Cara MariAnna,cara-marianna,Winter Wheat,https://winterwheat.substack.com,Newsletter - Substack,,,,,,,"Foreign Policy, Investigative",,"Power & Politics, Journalism Formats",,,,,
Carey Bunker,carey-bunker,The Neshobe Current,https://neshobecurrent.org,Website,,,,,,,Local,"Brandon, VT",Civic Life,Brandon,VT,US,Northeast,
Carl Chery,carl-chery,Carl Chery,https://carlchery.substack.com,Newsletter - Substack,,,,,,,Culture,"Los Angeles, CA",Culture & Media,Los Angeles,CA,US,West,
Carla Angola,carla-angola,Carla Angola,https://www.instagram.com/carlaangola,Video - Instagram,,,,,,,World,"Miami, FL",General News,Miami,FL,US,South,
Carla Lalli Music,carla-music,Food Processing,https://carlalalli.substack.com/,Newsletter - Substack,,,,,,,Recipes,"Brooklyn, NY",Lifestyle & Personal Life,Brooklyn,NY,US,Northeast,
Carla Sanchez,carla-sanchez,Carla Sanchez,https://www.instagram.com/spicycandydc/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@spicycandydc,,,,,Restaurants and bars,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Carla Zanoni,carla-zanoni,The Em Dash,https://carla.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/carlazanoni.bsky.social,,,,,"Culture, Books/Writing","New York, NY",Culture & Media,New York,NY,US,Northeast,
Carldez Goodley,carldez-goodley,Hoodanchorye,https://www.instagram.com/hoodanchorye,Video - Instagram,Video - TikTok,https://www.tiktok.com/@cartier11_1,,,,,Local,"Atlanta, GA",Civic Life,Atlanta,GA,US,South,
Carlos Eduardo Espina,carlos-eduardo-espina,Carlos Eduardo Espina,https://www.tiktok.com/@carlos_eduardo_espina,Video - TikTok,,,,,,,"Politics, Immigration","Houston, TX","Power & Politics, Social Issues",Houston,TX,US,South,
Carlos Valverde Bravo,carlos-valverde-bravo,Sin Compostura,https://www.youtube.com/c/CARLOSVALVERDEENLARED,Video - YouTube,Social - TikTok,https://www.tiktok.com/@carlosfvalverde,,,,,"General News, Politics",Bolivia,"Power & Politics, General News",,,,Bolivia,Global_South_World
Carolay Morales,carolay-morales,Carolay Morales,https://www.tiktok.com/@carolaymoralesp,Social - TikTok,Social - Instagram,https://www.instagram.com/carolaymorales/,,,,,"Immigration, Human Rights, Inequality, Investigative","Bogotá, Colombia","Social Issues, Journalism Formats",Bogotá,,CO,International,
Carole Cadwalladr,carole-cadwalladr,How to Survive the Broligarchy,https://broligarchy.substack.com/,Newsletter - Substack,,,,,,,"Tech, Politics","London, UK","Power & Politics, Money & Work",London,,UK,International,
Carolina Gelen,carolina-gelen,,https://carolinagelen.substack.com,Newsletter - Substack,Website,https://carolinagelen.com,,,,,Recipes,,Lifestyle & Personal Life,,,,,
Caroline Chambers,caroline-chambers,What to Cook When You Don’t Feel Like Cooking,https://www.instagram.com/carochambers,Video - Instagram,Newsletter - Substack,https://carolinechambers.substack.com,,,,,Food,"Carmel Valley, CA",Lifestyle & Personal Life,Carmel Valley,CA,US,West,
Caroline Crampton,caroline-crampton,The Browser,https://thebrowser.com,Newsletter - Ghost,,,,,,,General News,United Kingdom,General News,,,GB,International,
Caroline Criado Perez,caroline-criado-perez,Invisible Women,https://newsletter.carolinecriadoperez.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/ccriadoperez.bsky.social,,,,,Science,"London, England",Science Health & Environment,London,England,,,
Caroline Eden,caroline-eden,Journeys Beyond Borders,https://carolineeden.substack.com/,Newsletter - Substack,,,,,,,"Food, Travel",United Kingdom,Lifestyle & Personal Life,,,GB,International,
Caroline Moss,caroline-moss,"Gee Thanks, Just Bought It!",https://www.geethanksjustboughtit.com,Newsletter - Substack,,,,,,,Media/Power,,Culture & Media,,,,,
Caroline Patton,caroline-patton,Chicago Show Calendar,https://chicagoshowcal.substack.com,Newsletter - Substack,,,,,,,"Culture, Local, Music, Things to Do","Chicago, IL","Civic Life, Culture & Media, Lifestyle & Personal Life",Chicago,IL,US,Midwest,
Caroline Saunders,caroline-saunders,Pale Blue Tart,https://palebluetart.substack.com,Newsletter - Substack,Website,https://www.caroline-saunders.com/,,,,,"Climate/Environment, Food","New York, NY","Science Health & Environment, Lifestyle & Personal Life",New York,NY,US,Northeast,
Caroline's Playlist,carolines-playlist,Caroline's Playlist,https://www.instagram.com/maria.bastasch/,Social - Instagram,Newsletter - Substack,https://substack.com/@carosplaylists,Social - TikTok,https://www.tiktok.com/@carosplaylists,Website,http://carosplaylists.com/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnrqJ_mxIPDfkd4uFQNiuEv7alzWPEARWysaFal1_kYyqqalKAyXXjIaoYtfc_aem_h8o6nd4LktB87TNUyLBs3A\,Music,"Washington, DC",Culture & Media,Washington,DC,US,Mid-Atlantic,
Carolyn Thomas,carolyn-thomas,School of Traditional Skills,https://schooloftraditionalskills.com,Website,Video - YouTube,https://www.youtube.com/@SchoolofTraditionalSkills,,,,,"Outdoors, Lifestyle, Home","Bonners Ferry, ID",Lifestyle & Personal Life,Bonners Ferry,ID,US,West,
Casey Fiesler,casey-fiesler,Professor Casey,https://www.tiktok.com/@professorcasey,Video - TikTok,Video - Instagram,https://www.instagram.com/professorcasey,,,,,"Tech, Education","New York, NY","Civic Life, Money & Work",New York,NY,US,Northeast,
Casey Lewis,casey-lewis,After School,https://afterschool.substack.com,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/caseymlewis.bsky.social,,,,,Internet Culture,National - US,Culture & Media,,,US,National,
Casey Newton,casey-newton,Platformer,https://www.platformer.news,Newsletter - Ghost,Social - BlueSky,https://bsky.app/profile/caseynewton.bsky.social,,,,,Tech,National - US,Money & Work,,,US,National,
Cassandra Brooklyn,cassandra-brooklyn,Cassandra Brooklyn,https://www.escapingny.com,Website,,,,,,,Travel,"New York, NY",Lifestyle & Personal Life,New York,NY,US,Northeast,Institute_for_Independent_Journalists
Cassandra Stone,cassandra-stone,Cassandra Stone,https://www.instagram.com/dressuncoded/,Social - Instagram,Website,https://dressuncoded.com/,Video - TikTok,https://www.tiktok.com/@dressuncoded,Social - BlueSky,https://bsky.app/profile/cassandrastone.bsky.social,Lifestyle,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Catherine Goetze,catherine-goetze,CatGPT,https://www.askcatgpt.com,Video - Instagram,Video - YouTube,https://www.youtube.com/@askcatgpt,,,,,Tech,National - US,Money & Work,,,US,National,
Catherine Herridge,catherine-herridge,Catherine Herridge Reports,https://catherineherridgereports.com,Newsletter - Beehiiv,Social - Twitter / X,https://x.com/C__Herridge,Social - BlueSky,https://bsky.app/profile/catherineherridge.bsky.social,,,"Investigative, Government Accountability, National Security","Washington, DC","Power & Politics, Journalism Formats",Washington,DC,US,Mid-Atlantic,
Celine Gounder,celine-gounder,What I Can & Can't Say on,https://www.celinegounder.com/,Newsletter - Substack,Social - BlueSky,https://bsky.app/profile/celinegounder.com,,,,,Health/Wellness,"New York, NY",Science Health & Environment,New York,NY,US,Northeast,
Celine Murillo,celine-murillo,Celine Murillo,https://www.instagram.com/celinemurillo_,Social - Instagram,Social - TikTok,https://www.tiktok.com/@celinemurillo_,,,,,Climate/Environment,Philippines,Science Health & Environment,,,PH,International,Global_South_World
Cesar Cuauhtémoc García Hernández,cesar-cuauhtemoc-garcia-hernandez,Crimmigration,https://www.facebook.com/crimmigration/,Social - Facebook,,,,,,,Immigration,"Columbus, OH",Social Issues,Columbus,OH,US,Midwest,
Cesar Madison Tapia,cesar-madison-tapia,Cesar Madison Tapia,https://www.tiktok.com/@bettercallcj,Social - TikTok,Social - Instagram,https://www.instagram.com/bettercallcj/,Social - Twitter / X,https://x.com/bettercallcj,Social - BlueSky,https://bsky.app/profile/cjmadison.bsky.social,Politics,"Washington, DC",Power & Politics,Washington,DC,US,Mid-Atlantic,
Chai & Sunkist,chai-sunkist,Chai & Sunkist,https://www.instagram.com/madoverexploring/,Social - Instagram,Video - TikTok,https://www.tiktok.com/@madoverexploring,Video - YouTube,https://www.youtube.com/@madoverexploring,,,Travel,"Washington, DC",Lifestyle & Personal Life,Washington,DC,US,Mid-Atlantic,
Charlene Rhinehart,charlene-rhinehart,Chicago Southsider,https://chicagosouthsider.substack.com,Newsletter - Substack,,,,,,,"Local, Politics","Chicago, IL","Power & Politics, Civic Life",Chicago,IL,US,Midwest,
