handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
ashendruk.com,Amanda Shendruk,ok,1107,259,2026-01-24T13:16:31.445Z,,2026-07-01T16:56:29.230454+00:00
thatwitchmia.bsky.social,Amelia,ok,5586,8466,2026-06-12T23:09:38.861Z,,2026-07-01T16:56:29.640473+00:00
amywestervelt.bsky.social,Amy Westervelt,ok,58439,2181,2026-06-24T16:51:28.666Z,,2026-07-01T16:56:29.993458+00:00
anderspucknielsen.dk,Anders Puck Nielsen,ok,30851,4694,2026-05-29T16:04:11.257Z,,2026-07-01T16:56:30.346541+00:00
andrewdessler.com,Andrew Dessler,ok,27038,10077,2025-09-06T15:55:27.898Z,,2026-07-01T16:56:30.688989+00:00
statmodeling.bsky.social,Andrew Gelman,ok,6271,1207,2024-04-04T01:16:39.709Z,,2026-07-01T16:56:31.074583+00:00
andrewgill.biz,Andrew Gill,ok,501,211,2025-01-28T11:53:52.344Z,,2026-07-01T16:56:31.414578+00:00
wordloaf.org,Andrew Janjigian,ok,5777,5908,2026-04-05T16:31:41.156Z,,2026-07-01T16:56:31.884334+00:00
amontalenti.bsky.social,Andrew Montalenti,ok,145,3,2026-03-01T17:37:48.260Z,,2026-07-01T16:56:32.233201+00:00
revkin.bsky.social,Andy Revkin,ok,18567,3141,2025-06-09T18:09:50.542Z,,2026-07-01T16:56:32.585433+00:00
angushervey.com,Angus Hervey,ok,2503,1110,2024-11-21T02:04:40.270Z,,2026-07-01T16:56:32.928109+00:00
anildash.com,Anil Dash,ok,100689,20404,2025-12-11T04:44:05.623Z,,2026-07-01T16:56:33.271162+00:00
annapujolmazzini.bsky.social,Anna Pujol-Mazzini,ok,30,18,2025-09-15T08:17:39.698Z,,2026-07-01T16:56:33.639070+00:00
annehelen.bsky.social,Anne Helen Petersen,ok,23710,325,2026-02-16T22:01:47.747Z,,2026-07-01T16:56:33.977560+00:00
anya1anya.bsky.social,Anya Kamenetz,ok,5773,1246,2025-10-09T01:46:12.650Z,,2026-07-01T16:56:34.315289+00:00
aridrennen.bsky.social,Ari Drennen,ok,33920,1741,2026-06-28T19:48:25.166Z,,2026-07-01T16:56:34.674956+00:00
ashleevance.bsky.social,Ashlee Vance,ok,379,26,2025-05-08T05:07:39.738Z,,2026-07-01T16:56:35.018350+00:00
austinkocher.com,Austin Kocher,ok,11015,4191,2026-05-17T16:42:46.559Z,,2026-07-01T16:56:35.358711+00:00
azipaybarah.bsky.social,Azi Paybarah,ok,7103,13,2026-05-13T17:15:49.859Z,,2026-07-01T16:56:35.712208+00:00
bjthehetheygay.ca,Baxstar Jonmarie Ferguson,ok,1805,1598,2026-04-06T15:12:10.945Z,,2026-07-01T16:56:36.059228+00:00
benwhitelaw.bsky.social,Ben Whitelaw,ok,5846,744,2024-12-19T06:32:37.542Z,,2026-07-01T16:56:36.416161+00:00
billbishop.bsky.social,Bill Bishop,ok,3683,85,2024-11-14T16:49:21.132Z,,2026-07-01T16:56:36.767435+00:00
calculatedrisk.bsky.social,Bill McBride,ok,49659,2958,2026-01-28T14:15:16.347Z,,2026-07-01T16:56:37.120748+00:00
billmckibben.bsky.social,Bill McKibben,ok,71737,23151,2024-11-08T18:21:48.380Z,,2026-07-01T16:56:37.467340+00:00
billspindle.bsky.social,Bill Spindle,ok,47,7,2025-08-16T15:02:23.297Z,,2026-07-01T16:56:37.814510+00:00
brettcooperrp.bsky.social,Brett Cooper,ok,66,2,2024-11-08T05:36:09.482Z,,2026-07-01T16:56:38.162777+00:00
brettkollmann.bsky.social,Brett Kollmann,ok,55258,547,2025-06-12T22:45:14.940Z,,2026-07-01T16:56:38.521621+00:00
bcmerchant.bsky.social,Brian Merchant,ok,107382,3269,2025-08-19T05:35:37.362Z,,2026-07-01T16:56:38.866212+00:00
brihreed.bsky.social,Brian Reed,ok,734,431,2026-06-25T22:39:12.758Z,,2026-07-01T16:56:39.203072+00:00
briantylercohen.bsky.social,Brian Tyler Cohen,ok,838968,2503,2026-06-08T19:54:29.657Z,,2026-07-01T16:56:39.540043+00:00
bryanranderson.bsky.social,Bryan Anderson,ok,1969,656,2025-11-26T04:43:31.622Z,,2026-07-01T16:56:39.894182+00:00
schotthappens.com,Bryan Schott,ok,10774,7458,2026-01-24T00:02:39.747Z,,2026-07-01T16:56:40.262694+00:00
caitoz.bsky.social,Caitlin Johnstone,ok,21823,1824,2025-11-10T13:23:33.851Z,,2026-07-01T16:56:40.624610+00:00
cmyeaton.bsky.social,Caitlin Rivers,ok,9657,314,2026-04-19T23:02:13.843Z,,2026-07-01T16:56:40.965093+00:00
chipmonkfunk.bsky.social,Caleb Hammer,ok,12,1,2025-12-02T00:40:58.825Z,,2026-07-01T16:56:41.325560+00:00
camrodriguez.bsky.social,Cam Rodriguez,ok,1797,1061,2026-06-26T05:34:44.656Z,,2026-07-01T16:56:41.668244+00:00
realcandaceowens.bsky.social,Candace Owens,ok,958,30,2024-11-24T13:53:31.446Z,,2026-07-01T16:56:42.050964+00:00
carlazanoni.bsky.social,Carla Zanoni,ok,465,43,2025-02-05T03:32:10.545Z,,2026-07-01T16:56:42.395308+00:00
catherineherridge.bsky.social,Catherine Herridge,failed,,,,HTTP 400: Bad Request,2026-07-01T16:56:42.745942+00:00
charlotteclymer.bsky.social,Charlotte Clymer,ok,252382,6246,2026-06-24T02:51:34.563Z,,2026-07-01T16:56:43.108195+00:00
thewilderthings.bsky.social,Charlotte Wilder,ok,15827,97,2025-11-14T17:09:28.352Z,,2026-07-01T16:56:43.444245+00:00
cherylrofer.bsky.social,Cheryl Rofer,ok,24425,27262,2026-04-14T17:32:47.851Z,,2026-07-01T16:56:43.798011+00:00
chloecockburn.bsky.social,Chloe Cockburn,ok,922,78,2024-12-03T08:34:36.841Z,,2026-07-01T16:56:44.192208+00:00
00chrisdixon00.bsky.social,Chris Dixon,ok,96,0,2024-08-15T22:43:59.885Z,,2026-07-01T16:56:44.543175+00:00
newsnerd.bsky.social,Chris Hutton,ok,1930,2810,2026-03-26T18:11:32.757Z,,2026-07-01T16:56:44.888899+00:00
chrislatray.bsky.social,Chris La Tray,ok,28,0,2025-08-26T03:07:23.298Z,,2026-07-01T16:56:45.250611+00:00
chriscmooney.bsky.social,Chris Mooney,ok,996,172,2026-01-14T18:03:57.825Z,,2026-07-01T16:56:45.605547+00:00
chrisrichards.bsky.social,Chris Richards,ok,47001,339,2026-06-09T20:15:08.360Z,,2026-07-01T16:56:45.954374+00:00
titocurtis.bsky.social,Christopher Curtis,ok,10368,1435,2025-06-04T02:18:51.643Z,,2026-07-01T16:56:46.306443+00:00
cjgustafson.bsky.social,CJ Gustafson,ok,348,25,2024-11-30T16:23:54.246Z,,2026-07-01T16:56:47.255862+00:00
claudia-sahm.bsky.social,Claudia Sahm,ok,52674,721,2024-11-12T10:03:33.604Z,,2026-07-01T16:56:47.826387+00:00
codiesanchez.bsky.social,Codie Sanchez,ok,1017,47,2024-11-18T04:40:14.334Z,,2026-07-01T16:56:48.287671+00:00
coreyhutchins.bsky.social,Corey Hutchins,ok,2039,1171,2026-03-05T18:13:57.953Z,,2026-07-01T16:56:48.825799+00:00
coriinthecity.bsky.social,Cori Hanna,ok,13,1,2025-01-21T03:21:08.044Z,,2026-07-01T16:56:49.222844+00:00
bgexploredc.bsky.social,Cornelia Poku,ok,392,203,2024-11-19T21:21:08.766Z,,2026-07-01T16:56:49.822805+00:00
doctorow.pluralistic.net,Cory Doctorow,ok,20120,9365,2026-07-01T15:39:51.624Z,,2026-07-01T16:56:50.223224+00:00
craigcalcaterra.bsky.social,Craig Calcaterra,ok,37464,16713,2025-11-02T23:42:57.651Z,,2026-07-01T16:56:50.617908+00:00
dblums.bsky.social,Dan Blumberg,ok,68,29,2026-04-22T13:16:27.151Z,,2026-07-01T16:56:51.025824+00:00
fromedome.bsky.social,Dan Frommer,ok,3242,33,2024-11-19T07:32:09.805Z,,2026-07-01T16:56:51.423911+00:00
froomkin.bsky.social,Dan Froomkin,ok,81730,4060,2025-08-28T18:59:36.495Z,,2026-07-01T16:56:51.825401+00:00
danharriscan.bsky.social,Dan Harris,ok,644,1279,2024-11-15T17:00:18.929Z,,2026-07-01T16:56:52.225176+00:00
danshafer.bsky.social,Dan Shafer,ok,10825,1419,2026-04-08T02:29:42.854Z,,2026-07-01T16:56:52.785599+00:00
daniellarison.bsky.social,Daniel Larison,ok,1642,2544,2026-03-11T02:13:54.654Z,,2026-07-01T16:56:53.295159+00:00
danielrothberg.bsky.social,Daniel Rothberg,ok,2851,160,2026-06-25T00:43:05.994Z,,2026-07-01T16:56:53.684103+00:00
davidcayjohnston.bsky.social,David Cay Johnston,ok,13966,791,2025-10-17T03:35:44.950Z,,2026-07-01T16:56:54.129244+00:00
davidcrooknyc.bsky.social,David Crook,ok,108,2,2024-11-15T20:39:11.120Z,,2026-07-01T16:56:54.486370+00:00
davidlat.bsky.social,David Lat,ok,3518,10,2024-03-24T04:02:59.708Z,,2026-07-01T16:56:54.889575+00:00
davidpepperoh.bsky.social,David Pepper,ok,43978,222,2026-01-07T12:25:46.925Z,,2026-07-01T16:56:55.292314+00:00
volts.wtf,David Roberts,ok,107176,18020,2025-01-13T06:07:18.944Z,,2026-07-01T16:56:55.689825+00:00
davidsirota.com,David Sirota,ok,36077,3420,2026-03-17T13:23:59.850Z,,2026-07-01T16:56:56.103829+00:00
wildstein.bsky.social,David Wildstein,ok,1363,44,2024-11-17T22:45:53.080Z,,2026-07-01T16:56:56.484498+00:00
dieworkwear.bsky.social,Derek Guy,ok,622067,3519,2025-08-31T07:32:44.498Z,,2026-07-01T16:56:56.892681+00:00
dianabutlerbass.bsky.social,Diana Butler Bass,ok,29488,2768,2025-11-22T16:35:40.025Z,,2026-07-01T16:56:57.290578+00:00
