handle,name,status,followers_count,posts_count,indexed_at,error_reason,fetched_at
jorgerh2o.bsky.social,Jorge Ramos,ok,1391,50,2025-08-14T15:52:33.298Z,,2026-07-01T16:57:33.495170+00:00
joshuadairen.bsky.social,Joshua Dairen,ok,478,73,2024-11-12T15:23:22.612Z,,2026-07-01T16:57:33.897721+00:00
joycevance.bsky.social,Joyce Vance,ok,70377,7,2024-12-04T00:38:35.953Z,,2026-07-01T16:57:34.291763+00:00
bartona104.bsky.social,Julia Barton,ok,2828,14882,2026-07-01T14:43:56.122Z,,2026-07-01T16:57:34.697419+00:00
juliaccarpenter.bsky.social,Julia Carpenter,ok,174,10,2025-06-23T18:28:58.031Z,,2026-07-01T16:57:35.093839+00:00
julieroys.bsky.social,Julie Roys,failed,,,,HTTP 400: Bad Request,2026-07-01T16:57:35.493737+00:00
julievickwriter.bsky.social,Julie Vick,ok,5202,286,2025-12-19T02:24:05.229Z,,2026-07-01T16:57:35.894698+00:00
justingerdes.bsky.social,Justin Gerdes,ok,7685,2031,2026-07-01T15:22:34.416Z,,2026-07-01T16:57:36.301387+00:00
kakape.bsky.social,Kai Kupferschmidt,ok,36562,1590,2026-05-23T06:46:07.965Z,,2026-07-01T16:57:36.708740+00:00
karenattiah.bsky.social,Karen Attiah,ok,168387,7953,2026-06-21T18:30:32.560Z,,2026-07-01T16:57:37.108093+00:00
karlbode.com,Karl Bode,ok,77297,39380,2026-05-11T18:42:06.274Z,,2026-07-01T16:57:37.521276+00:00
katemanne.bsky.social,Kate Manne,ok,11312,244,2024-11-07T17:07:32.782Z,,2026-07-01T16:57:37.915275+00:00
bgirledukate.bsky.social,Kate Morrissey,ok,2510,183,2024-12-12T01:22:09.442Z,,2026-07-01T16:57:38.302657+00:00
kwoodsome.bsky.social,Kate Woodsome,ok,192,72,2025-11-25T17:25:10.125Z,,2026-07-01T16:57:38.704710+00:00
katelynburns.com,Katelyn Burns,ok,92876,19284,2026-06-28T15:08:08.665Z,,2026-07-01T16:57:39.105793+00:00
katharinehayhoe.com,Katharine Hayhoe,ok,148345,9884,2026-03-11T01:29:58.255Z,,2026-07-01T16:57:39.507539+00:00
katiecouric.bsky.social,Katie Couric,ok,29946,139,2025-04-22T13:42:15.176Z,,2026-07-01T16:57:39.908773+00:00
katieharbath.bsky.social,Katie Harbath,ok,5700,204,2025-01-29T00:06:14.144Z,,2026-07-01T16:57:40.304843+00:00
keithedwards.bsky.social,Keith Edwards,ok,258768,2449,2026-06-04T19:33:08.357Z,,2026-07-01T16:57:40.703578+00:00
kenklippenstein.bsky.social,Ken Klippenstein,ok,294564,3299,2025-01-28T16:12:00.846Z,,2026-07-01T16:57:41.106274+00:00
kimiversen.bsky.social,Kim Iversen,ok,140,3,2025-02-25T04:09:34.245Z,,2026-07-01T16:57:41.506783+00:00
kimzetter.bsky.social,Kim Zetter,ok,19925,922,2026-04-27T19:48:42.940Z,,2026-07-01T16:57:41.912750+00:00
kmpanthagani.bsky.social,Kristen Panthagani,ok,9868,215,2025-05-15T20:51:51.440Z,,2026-07-01T16:57:42.309278+00:00
krystalball.bsky.social,Krystal Ball,ok,23052,74,2024-12-01T12:53:41.346Z,,2026-07-01T16:57:42.709868+00:00
khill.bsky.social,Kyle Hill,ok,14814,96,2026-06-26T04:31:49.170Z,,2026-07-01T16:57:43.315679+00:00
laurarbelin.bsky.social,Laura Belin,ok,8721,5813,2025-12-27T13:47:53.225Z,,2026-07-01T16:57:43.715244+00:00
leefang.bsky.social,Lee Fang,ok,2345,2,2024-01-20T05:53:53.115Z,,2026-07-01T16:57:44.115419+00:00
leejamiller.bsky.social,Leeja Miller,ok,21977,32,2025-01-07T18:24:31.344Z,,2026-07-01T16:57:44.512394+00:00
liahaberman.bsky.social,Lia Haberman,ok,740,113,2024-11-21T17:42:56.973Z,,2026-07-01T16:57:44.922337+00:00
linalecaro.bsky.social,Lina Lecaro,ok,280,14,2024-11-20T20:36:09.906Z,,2026-07-01T16:57:45.322262+00:00
lindsaygibbs.bsky.social,Lindsay Gibbs,ok,6227,1234,2025-10-09T00:47:36.249Z,,2026-07-01T16:57:45.854306+00:00
lisabennettwrites.bsky.social,Lisa Bennett,ok,53,6,2025-03-19T01:03:32.148Z,,2026-07-01T16:57:46.321640+00:00
louiewoodall.bsky.social,Louie Woodall,ok,603,350,2026-03-06T19:28:53.148Z,,2026-07-01T16:57:46.725109+00:00
louisrossmann.bsky.social,Louis Rossmann,ok,212,4,2025-02-28T10:55:26.746Z,,2026-07-01T16:57:47.122329+00:00
lucasamin.bsky.social,Lucas Amin,ok,547,7,2024-11-18T17:48:50.547Z,,2026-07-01T16:57:47.523880+00:00
mnolangray.bsky.social,M. Nolan Gray,ok,21997,4122,2026-05-18T06:27:24.155Z,,2026-07-01T16:57:47.936086+00:00
mgsiegler.com,M.G. Siegler,ok,7314,1413,2026-05-14T07:05:58.568Z,,2026-07-01T16:57:48.618869+00:00
midimyers.com,Maddy Myers,ok,21826,6660,2026-01-09T20:17:11.725Z,,2026-07-01T16:57:49.129197+00:00
madelinehill.bsky.social,Madeline Hill,ok,1534,58,2025-08-05T15:15:55.397Z,,2026-07-01T16:57:49.490577+00:00
marcruby.bsky.social,Marc Rubinstein,ok,514,5,2025-06-26T16:22:59.633Z,,2026-07-01T16:57:49.932580+00:00
sulliview.bsky.social,Margaret Sullivan,ok,128653,395,2025-12-30T16:48:06.026Z,,2026-07-01T16:57:50.324610+00:00
mnlimas.bsky.social,Marianna Limas,ok,2577,41,2025-07-27T10:29:08.097Z,,2026-07-01T16:57:50.726870+00:00
mariannedhe.bsky.social,Marianne Dhenin,ok,13327,2626,2026-05-19T13:26:35.666Z,,2026-07-01T16:57:51.147262+00:00
marionnestle.bsky.social,Marion Nestle,ok,1050,312,2025-06-26T15:18:03.533Z,,2026-07-01T16:57:51.533794+00:00
markhertling.bsky.social,Mark Hertling,ok,110815,1371,2026-06-21T12:34:49.961Z,,2026-07-01T16:57:51.932662+00:00
markjacob.bsky.social,Mark Jacob,ok,111274,8596,2026-05-13T21:08:20.664Z,,2026-07-01T16:57:52.338612+00:00
marksimon.bsky.social,Mark Simon,ok,6169,952,2025-05-24T15:35:20.441Z,,2026-07-01T16:57:52.733224+00:00
markzuckerman.bsky.social,Mark Zuckerman,ok,5020,2506,2026-02-16T22:33:51.648Z,,2026-07-01T16:57:53.130715+00:00
mattbinder.bsky.social,Matt Binder,ok,126672,928,2025-02-10T21:46:45.743Z,,2026-07-01T16:57:53.539919+00:00
mattcameron.bsky.social,Matt Cameron,ok,16997,3248,2026-06-24T04:38:16.562Z,,2026-07-01T16:57:53.937621+00:00
mattferrell.bsky.social,Matt Ferrell,ok,873,272,2026-03-19T02:38:07.448Z,,2026-07-01T16:57:54.338943+00:00
mattdpearce.com,Matt Pearce,ok,55730,2033,2025-12-17T18:32:37.324Z,,2026-07-01T16:57:54.746225+00:00
meghanmccarthy.bsky.social,Meghan McCarthy,ok,7511,207,2025-01-25T03:48:01.343Z,,2026-07-01T16:57:55.148936+00:00
meghanncuniff.bsky.social,Meghann Cuniff,ok,29287,1289,2024-01-20T05:47:01.124Z,,2026-07-01T16:57:55.541339+00:00
melbuer.bsky.social,Mel Buer,ok,27107,7806,2026-06-16T16:06:13.165Z,,2026-07-01T16:57:55.944351+00:00
mdelbosque.bsky.social,Melissa del Bosque,ok,1255,72,2026-05-06T21:44:19.664Z,,2026-07-01T16:57:56.340267+00:00
meredithsell.bsky.social,Meredith Sell,ok,126,100,2026-05-08T18:41:35.870Z,,2026-07-01T16:57:56.744306+00:00
michael-thomas.bsky.social,Michael Thomas,ok,4733,433,2025-03-10T15:13:19.643Z,,2026-07-01T16:57:57.090956+00:00
michaelwolffnyc.bsky.social,Michael Wolff,ok,5507,27,2025-03-24T20:12:03.642Z,,2026-07-01T16:57:57.548887+00:00
msignorile.bsky.social,Michelangelo Signorile,ok,69754,3839,2026-06-29T15:15:04.979Z,,2026-07-01T16:57:57.944168+00:00
warinthefuture.bsky.social,Mick Ryan,ok,57582,2025,2026-05-09T22:03:00.257Z,,2026-07-01T16:57:58.341233+00:00
mikebutcher.bsky.social,Mike Butcher,ok,12738,468,2025-10-08T22:26:49.950Z,,2026-07-01T16:57:58.745982+00:00
mikeelgan.bsky.social,Mike Elgan,ok,8812,4082,2026-06-15T20:39:56.574Z,,2026-07-01T16:57:59.146317+00:00
mikeelk.bsky.social,Mike Elk,ok,5363,3613,2026-05-23T02:54:47.157Z,,2026-07-01T16:57:59.546025+00:00
mikeshanahan.bsky.social,Mike Shanahan,ok,1754,365,2025-12-04T16:22:16.525Z,,2026-07-01T16:57:59.944478+00:00
mims.bsky.social,MIMS,ok,38119,5606,2026-06-21T19:36:54.256Z,,2026-07-01T16:58:00.298484+00:00
mirandagreen.bsky.social,Miranda Green,ok,1165,110,2025-09-03T19:54:42.098Z,,2026-07-01T16:58:00.726759+00:00
mollytolsky.bsky.social,Molly Tolsky,ok,174,0,2024-01-20T06:02:19.578Z,,2026-07-01T16:58:01.148050+00:00
molly.wiki,Molly White,ok,236963,6741,2026-06-18T18:22:33.867Z,,2026-07-01T16:58:01.505177+00:00
monachalabi.bsky.social,Mona Chalabi,ok,545,3,2025-02-07T07:57:23.944Z,,2026-07-01T16:58:01.847181+00:00
natwexler.bsky.social,Natalie Wexler,ok,1477,60,2025-02-03T15:52:12.645Z,,2026-07-01T16:58:02.195927+00:00
antinatesilver.bsky.social,Nate Silver,ok,1254,47,2024-01-20T05:49:47.499Z,,2026-07-01T16:58:02.554037+00:00
flowingdata.com,Nathan Yau,ok,6999,245,2026-04-29T17:00:31.671Z,,2026-07-01T16:58:02.899158+00:00
nickparish.bsky.social,Nick Parish,ok,690,1167,2026-05-06T18:01:25.460Z,,2026-07-01T16:58:03.267532+00:00
normeisen.bsky.social,Norm Eisen,ok,243304,1657,2025-10-31T13:10:03.552Z,,2026-07-01T16:58:03.619424+00:00
normanoder.bsky.social,Norman Oder,ok,2826,515,2024-11-15T00:47:47.540Z,,2026-07-01T16:58:03.961476+00:00
owenjones.bsky.social,Owen Jones,ok,124742,1450,2026-03-30T18:22:53.059Z,,2026-07-01T16:58:04.313065+00:00
parismarx.com,Paris Marx,ok,81464,6758,2026-06-18T16:01:48.265Z,,2026-07-01T16:58:04.666605+00:00
pboyle.bsky.social,Patrick Boyle,ok,3357,179,2024-01-20T05:56:15.922Z,,2026-07-01T16:58:05.009630+00:00
dogfoodstudios.bsky.social,Patrick McNamara,ok,266,1232,2025-11-29T19:07:35.425Z,,2026-07-01T16:58:05.367049+00:00
paulfain.bsky.social,Paul Fain,ok,164,20,2024-11-26T17:28:46.247Z,,2026-07-01T16:58:05.714790+00:00
pkrugman.bsky.social,Paul Krugman,ok,315661,22290,2026-02-23T09:32:17.250Z,,2026-07-01T16:58:06.067125+00:00
pauloffit.bsky.social,Paul Offit,ok,13869,237,2024-03-07T15:48:58.683Z,,2026-07-01T16:58:06.409083+00:00
pwbeck.bsky.social,Peter Beck,ok,324,3,2026-04-06T22:02:53.351Z,,2026-07-01T16:58:06.769188+00:00
petergeoghegan.bsky.social,Peter Geoghegan,ok,66948,3141,2025-12-14T21:16:36.324Z,,2026-07-01T16:58:07.119714+00:00
palan57.bsky.social,Peter Greene,ok,2338,2317,2025-01-03T14:25:38.143Z,,2026-07-01T16:58:07.482567+00:00
pjvogt.bsky.social,PJ Vogt,ok,7331,69,2025-09-20T19:01:23.898Z,,2026-07-01T16:58:07.843216+00:00
premthakker.bsky.social,Prem Thakker,ok,61716,2375,2025-12-03T20:43:26.224Z,,2026-07-01T16:58:08.202012+00:00
pritipatnaik.bsky.social,Priti Patnaik,ok,107,111,2026-03-17T13:07:12.351Z,,2026-07-01T16:58:08.558404+00:00
racheldonald.bsky.social,Rachel Donald,ok,17653,314,2026-06-20T17:26:24.667Z,,2026-07-01T16:58:08.918166+00:00
radleybalko.bsky.social,Radley Balko,ok,106403,5531,2026-06-29T01:19:08.667Z,,2026-07-01T16:58:09.310614+00:00
raelynroberson.bsky.social,Raelyn Roberson,ok,29,8,2025-05-21T20:19:02.240Z,,2026-07-01T16:58:09.671934+00:00
raquelwillis.com,Raquel Willis,ok,29555,696,2026-02-21T23:15:42.450Z,,2026-07-01T16:58:10.016735+00:00
rebeccanagle.bsky.social,Rebecca Nagle,ok,12132,1378,2026-06-22T15:46:41.959Z,,2026-07-01T16:58:10.367427+00:00
legalethics.bsky.social,Renee Knake Jefferson,ok,2082,31,2026-02-26T23:46:18.255Z,,2026-07-01T16:58:10.730406+00:00
reywrites.bsky.social,Rey Katz,failed,,,,HTTP 400: Bad Request,2026-07-01T16:58:11.078374+00:00
rilaws.bsky.social,Richard Lawson,ok,11707,831,2026-02-17T12:36:30.645Z,,2026-07-01T16:58:11.433527+00:00
toomuchtv.substack.com,Rick Ellis,failed,,,,HTTP 400: Bad Request,2026-07-01T16:58:11.788065+00:00
rickhasen.bsky.social,Rick Hasen,ok,66988,5308,2025-09-30T15:50:15.647Z,,2026-07-01T16:58:12.172377+00:00
robertkelchen.com,Robert Kelchen,ok,6104,4556,2025-09-23T20:41:35.798Z,,2026-07-01T16:58:12.533169+00:00
rogerseheult.bsky.social,Roger Seheult,ok,425,33,2024-11-13T07:54:40.884Z,,2026-07-01T16:58:12.887176+00:00
roncharles.bsky.social,Ron Charles,ok,4468,389,2026-02-09T20:06:21.646Z,,2026-07-01T16:58:13.292858+00:00
mododibere.bsky.social,Rose Thomas Bannister,ok,63,20,2025-01-08T22:34:40.743Z,,2026-07-01T16:58:13.633961+00:00
rowancheung.bsky.social,Rowan Cheung,ok,2710,0,2024-11-20T01:56:50.770Z,,2026-07-01T16:58:13.989197+00:00
rusty.todayintabs.com,Rusty Foster,ok,16740,8473,2026-06-06T03:04:06.261Z,,2026-07-01T16:58:14.342839+00:00
ruthbenghiat.bsky.social,Ruth Ben-Ghiat,ok,314717,428,2025-09-19T00:50:22.497Z,,2026-07-01T16:58:14.719767+00:00
ryanflinn.bsky.social,Ryan Flinn,ok,635,174,2025-12-21T15:56:46.425Z,,2026-07-01T16:58:15.086969+00:00
rgoodlaw.bsky.social,Ryan Goodman,ok,224524,2053,2026-05-06T18:54:29.861Z,,2026-07-01T16:58:15.452318+00:00
ryangrim.bsky.social,Ryan Grim,ok,59093,2283,2026-06-15T16:16:51.318Z,,2026-07-01T16:58:15.824960+00:00
ryan-holiday.bsky.social,Ryan Holiday,ok,5613,272,2025-09-12T00:03:40.299Z,,2026-07-01T16:58:16.178211+00:00
ryanmcbeth.bsky.social,Ryan McBeth,ok,22503,866,2025-11-13T04:48:27.352Z,,2026-07-01T16:58:16.531003+00:00
ryansutton.bsky.social,Ryan Sutton,ok,26210,239,2025-11-13T05:05:51.852Z,,2026-07-01T16:58:16.904429+00:00
ryanwelton.bsky.social,Ryan Welton,ok,50,9,2025-11-24T13:31:40.525Z,,2026-07-01T16:58:17.289921+00:00
esaagar.bsky.social,Saagar Enjeti,ok,3054,1,2024-01-20T05:51:02.951Z,,2026-07-01T16:58:17.640894+00:00
tker.co,Sam Ro,ok,45638,1298,2026-06-23T15:50:07.558Z,,2026-07-01T16:58:18.001739+00:00
samsanders.bsky.social,Sam Sanders,ok,19464,318,2026-03-20T23:18:35.151Z,,2026-07-01T16:58:18.346325+00:00
sarahmock.bsky.social,Sarah Mock,ok,127,88,2025-01-22T15:39:26.242Z,,2026-07-01T16:58:18.697829+00:00
saribotton.bsky.social,Sari Botton,ok,5714,613,2026-06-01T18:30:41.957Z,,2026-07-01T16:58:19.056605+00:00
saulwilliams.bsky.social,Saul,ok,7293,43,2024-08-31T01:27:21.028Z,,2026-07-01T16:58:19.419905+00:00
scottbraddock.bsky.social,Scott Braddock,ok,3337,221,2026-05-30T00:37:34.960Z,,2026-07-01T16:58:19.781144+00:00
acatwithnews.bsky.social,Sean Beckner-Carmitchel,ok,23164,1647,2026-06-23T16:04:20.961Z,,2026-07-01T16:58:20.136742+00:00
highkin.bsky.social,Sean Highkin,ok,16746,1386,2026-06-25T04:00:53.771Z,,2026-07-01T16:58:20.504434+00:00
sethgodin.bsky.social,Seth Godin,ok,4820,663,2024-02-09T21:23:18.369Z,,2026-07-01T16:58:20.850105+00:00
shamjaff.bsky.social,Sham Jaff,ok,4218,669,2026-06-07T18:27:56.864Z,,2026-07-01T16:58:21.204944+00:00
shkleiber.bsky.social,Shannon Henry Kleiber,ok,99,17,2025-09-28T15:31:35.447Z,,2026-07-01T16:58:21.556914+00:00
simonowens.bsky.social,Simon Owens,ok,2268,3779,2024-01-20T05:48:48.177Z,,2026-07-01T16:58:21.916667+00:00
attackerman.bsky.social,Spencer Ackerman,ok,89533,2855,2025-09-02T20:47:26.198Z,,2026-07-01T16:58:22.269780+00:00
sreenet.bsky.social,Sree Sreenivasan,ok,764,22,2025-01-03T03:48:50.242Z,,2026-07-01T16:58:22.627111+00:00
smizznit.bsky.social,Stephen Smysnuik,ok,9,3,2025-09-02T23:57:27.299Z,,2026-07-01T16:58:22.996078+00:00
matteomedia.bsky.social,Steve Matteo,ok,262,161,2025-06-17T19:24:12.241Z,,2026-07-01T16:58:23.342964+00:00
stevemould-ytbot.bsky.social,Steve Mould,ok,91,42,2025-01-07T16:03:10.943Z,,2026-07-01T16:58:23.767411+00:00
stevevladeck.bsky.social,Steve Vladeck,ok,250251,3425,2025-08-04T10:36:42.199Z,,2026-07-01T16:58:24.131036+00:00
kianpourworld.bsky.social,Suzanne Kianpour,ok,125,43,2025-11-17T13:56:53.752Z,,2026-07-01T16:58:24.614868+00:00
politicalwire.com,Taegan Goddard,ok,13845,4749,2024-01-20T05:48:52.459Z,,2026-07-01T16:58:25.002712+00:00
taliajane.bsky.social,Talia Jane,ok,57279,14597,2026-06-13T11:53:32.256Z,,2026-07-01T16:58:25.363011+00:00
tarapalmeri.bsky.social,Tara Palmeri,ok,15316,1664,2026-05-21T22:00:04.260Z,,2026-07-01T16:58:25.735446+00:00
theolloydhughes.bsky.social,Theo Lloyd-Hughes,ok,5256,2810,2026-03-15T14:47:57.252Z,,2026-07-01T16:58:26.102794+00:00
thomaszimmer.bsky.social,Thomas Zimmer,ok,85468,8559,2026-06-29T19:51:07.819Z,,2026-07-01T16:58:26.479034+00:00
timothysnyder.bsky.social,Timothy Snyder,ok,483752,1708,2025-06-12T19:32:16.340Z,,2026-07-01T16:58:26.825792+00:00
tinabrownlm.bsky.social,Tina Brown,ok,1813,121,2025-04-08T14:32:57.079Z,,2026-07-01T16:58:27.180670+00:00
lawdroid.bsky.social,Tom Martin,ok,174,515,2026-06-10T21:54:04.056Z,,2026-07-01T16:58:27.535616+00:00
tommytomlinson.bsky.social,Tommy Tomlinson,ok,1550,1725,2025-08-01T22:29:25.798Z,,2026-07-01T16:58:27.891960+00:00
iamtrevormay.bsky.social,Trevor May,ok,3103,31,2025-08-02T15:20:42.898Z,,2026-07-01T16:58:28.266455+00:00
tyburr.bsky.social,Ty Burr,ok,12504,2083,2026-04-21T22:09:05.848Z,,2026-07-01T16:58:28.636150+00:00
tydunne.bsky.social,Tyler Dunne,ok,2949,1235,2025-12-29T13:37:29.226Z,,2026-07-01T16:58:29.081807+00:00
vanessa-armstrong.com,Vanessa Armstrong,ok,1230,329,2026-04-24T13:47:08.242Z,,2026-07-01T16:58:29.451271+00:00
vincebeiser.bsky.social,Vince Beiser,ok,362,181,2024-11-19T02:50:52.504Z,,2026-07-01T16:58:29.831059+00:00
virginiasolesmith.bsky.social,Virginia Sole-Smith,ok,348,52,2026-02-02T22:33:57.145Z,,2026-07-01T16:58:30.234084+00:00
vladvexler.bsky.social,Vlad Vexler,ok,10779,1012,2024-11-21T21:58:44.473Z,,2026-07-01T16:58:30.588337+00:00
walthickey.bsky.social,Walter Hickey,ok,2810,1150,2025-10-07T03:53:34.453Z,,2026-07-01T16:58:30.944810+00:00
wendellpotter.bsky.social,Wendell Potter,ok,231,0,2025-03-04T22:15:58.144Z,,2026-07-01T16:58:31.300867+00:00
whitneybauck.bsky.social,Whitney Bauck,ok,7042,419,2026-04-03T15:11:56.046Z,,2026-07-01T16:58:31.698329+00:00
gametheory101.bsky.social,William Spaniel,ok,2567,395,2025-09-15T18:23:43.699Z,,2026-07-01T16:58:32.050297+00:00
yonahfreemark.com,Yonah Freemark,ok,29899,19875,2026-06-04T19:52:13.263Z,,2026-07-01T16:58:32.407236+00:00
yonigre.bsky.social,Yoni Greenbaum,ok,201,130,2025-09-21T16:14:05.899Z,,2026-07-01T16:58:32.749668+00:00
yoweishaw.bsky.social,Yowei Shaw,ok,47,62,2025-07-26T15:54:31.198Z,,2026-07-01T16:58:33.116771+00:00
yuliadenisyuk.bsky.social,Yulia Denisyuk,ok,49,7,2025-08-11T16:56:35.298Z,,2026-07-01T16:58:33.472229+00:00
hausfath.bsky.social,Zeke Hausfather,ok,40409,2584,2026-02-09T18:15:31.946Z,,2026-07-01T16:58:33.820226+00:00
zerlinamaxwell.bsky.social,Zerlina Maxwell,ok,14735,177,2025-03-07T18:22:05.341Z,,2026-07-01T16:58:34.181442+00:00
zoehhannah.com,Zoë Hannah,ok,4219,1174,2026-06-13T17:23:53.763Z,,2026-07-01T16:58:34.522109+00:00
alexgonzor.bsky.social,Alex González Ormerod,ok,248,26,2024-11-17T19:57:04.649Z,,2026-07-01T16:58:34.874473+00:00
ari-shapiro.bsky.social,Ari Shapiro,ok,9247,3,2024-11-26T18:39:56.845Z,,2026-07-01T16:58:35.215258+00:00
newsberg.org.bsky.social,Branden Andersen,failed,,,,HTTP 400: Bad Request,2026-07-01T16:58:35.558651+00:00
chashundley.bsky.social,Chas Hundley,ok,465,301,2026-05-18T22:54:48.663Z,,2026-07-01T16:58:35.931191+00:00
clarasoteras.com,Clara Soteras,ok,253,68,2024-11-20T15:45:19.770Z,,2026-07-01T16:58:36.290354+00:00
craigmod.com,Craig Mod,ok,7258,804,2025-03-28T20:39:12.293Z,,2026-07-01T16:58:36.635576+00:00
davecantor.bsky.social,Dave Cantor,ok,113,0,2026-05-31T21:56:56.468Z,,2026-07-01T16:58:37.002468+00:00
drbecky.bsky.social,Dr. Becky Smethurst,ok,12196,24,2025-01-10T19:40:23.444Z,,2026-07-01T16:58:37.359482+00:00
garnethenderson.com,Garnet Henderson,ok,10738,2469,2026-04-01T16:49:41.259Z,,2026-07-01T16:58:37.708359+00:00
granthermes.bsky.social,Grant Hermes,ok,238,269,2026-03-04T23:25:59.851Z,,2026-07-01T16:58:38.066318+00:00
jeanmassiet.bsky.social,Jean Massiet,ok,37825,1034,2026-03-14T21:55:41.249Z,,2026-07-01T16:58:38.413356+00:00
jeffreybellone.bsky.social,Jeffrey Bellone,ok,296,7,2024-11-22T01:37:06.453Z,,2026-07-01T16:58:38.769484+00:00
jsvine.com,Jeremy Singer-Vine,ok,1335,0,2024-01-20T06:03:22.879Z,,2026-07-01T16:58:39.123855+00:00
jessebrown.bsky.social,Jesse Brown,ok,7261,345,2025-02-04T20:47:31.844Z,,2026-07-01T16:58:39.480437+00:00
joeyneverjoe.bsky.social,Joey Scott,ok,8981,3765,2026-01-26T16:54:35.946Z,,2026-07-01T16:58:39.832071+00:00
kimkelly.bsky.social,Kim Kelly,ok,112535,8753,2026-06-27T16:24:11.463Z,,2026-07-01T16:58:40.203023+00:00
leahsottile.bsky.social,Leah Sottile,ok,14576,1102,2026-04-22T15:43:27.351Z,,2026-07-01T16:58:40.537751+00:00
mabelkabani.bsky.social,Mabel Kabani,ok,21,1,2024-11-22T22:20:16.054Z,,2026-07-01T16:58:40.897605+00:00
maliayoshioka.bsky.social,Malia Yoshioka,ok,95,10,2025-02-14T13:22:05.244Z,,2026-07-01T16:58:41.255043+00:00
marielgarza.bsky.social,Mariel Garza,ok,648,253,2025-11-13T00:43:48.650Z,,2026-07-01T16:58:41.602218+00:00
mayahiga.bsky.social,Maya Higa,ok,55,0,2026-05-15T00:17:33.060Z,,2026-07-01T16:58:41.973518+00:00
mwriston.bsky.social,Michael Wriston,ok,2698,1306,2026-06-13T22:46:03.064Z,,2026-07-01T16:58:42.327421+00:00
nikatalbot.bsky.social,Nika Talbot,ok,259,95,2026-06-25T10:47:59.163Z,,2026-07-01T16:58:42.689265+00:00
sollenbergerrc.bsky.social,Roger Sollenberger,ok,11264,986,2025-04-14T07:06:37.673Z,,2026-07-01T16:58:43.041348+00:00
ryanjhaas.bsky.social,Ryan Haas,ok,6928,1408,2026-02-12T17:00:12.247Z,,2026-07-01T16:58:43.491075+00:00
susanrinkunas.com,Susan Rinkunas,ok,53444,11659,2026-06-17T15:36:27.966Z,,2026-07-01T16:58:43.969987+00:00
puddingviz.bsky.social,The Pudding,failed,,,,HTTP 400: Bad Request,2026-07-01T16:58:44.326870+00:00
vevalenz.bsky.social,Victoria Elena Valenzuela,ok,90,16,2025-10-27T17:29:55.952Z,,2026-07-01T16:58:44.685564+00:00
brianhansbury.bsky.social,Brian Hansbury,ok,1034,1103,2025-04-01T03:22:32.896Z,,2026-07-01T16:58:45.044330+00:00
tomsietsema.bsky.social,Tom Sietsema,ok,1021,18,2024-11-27T01:28:35.645Z,,2026-07-01T16:58:45.401279+00:00
annafifield.bsky.social,Anna Fifield,ok,461,10,2026-03-23T20:15:34.148Z,,2026-07-01T16:58:45.755361+00:00
lizcarlsonart.bsky.social,Liz Carlson,ok,48,9,2025-01-13T19:39:50.543Z,,2026-07-01T16:58:46.108558+00:00
thgoetz.bsky.social,Thomas Goetz,ok,164,35,2024-11-24T22:29:34.547Z,,2026-07-01T16:58:46.458670+00:00
brandonmichew.bsky.social,Brandon Chew,ok,41,30,2026-04-28T03:46:11.544Z,,2026-07-01T16:58:46.815949+00:00
alexip718.com,Alex Ip,ok,17294,10906,2026-05-29T03:17:51.463Z,,2026-07-01T16:58:47.173266+00:00
agoldnerd.bsky.social,Alex Goldman,ok,496,615,2024-11-17T14:27:20.152Z,,2026-07-01T16:58:47.562928+00:00
sarayasin.bsky.social,Sara Yasin,ok,732,43,2026-03-12T01:14:05.048Z,,2026-07-01T16:58:47.929550+00:00
gbrockell.bsky.social,Gillian Brockell,failed,,,,HTTP 400: Bad Request,2026-07-01T16:58:48.296703+00:00
robertpjones.bsky.social,Robert P. Jones,ok,42245,418,2026-02-16T22:26:06.248Z,,2026-07-01T16:58:48.651069+00:00
jemartisby.skystack.xyz,Jemar Tisby,ok,72,89,2025-11-24T19:42:37.525Z,,2026-07-01T16:58:49.026206+00:00
antheabutler.bsky.social,Anthea Butler,ok,73892,2549,2026-01-26T03:06:58.345Z,,2026-07-01T16:58:49.388833+00:00
sarahposner.bsky.social,Sarah Posner,ok,80662,10976,2026-05-20T12:55:29.761Z,,2026-07-01T16:58:49.764769+00:00
katherinestewart.bsky.social,Katherine Stewart,ok,13237,816,2026-06-22T07:11:31.459Z,,2026-07-01T16:58:50.115008+00:00
brchastain.social,Blake Chastain,ok,4644,1508,2026-02-25T15:46:24.447Z,,2026-07-01T16:58:50.472389+00:00
angeladenker.bsky.social,Angela Denker,ok,13089,2501,2025-09-30T20:10:32.253Z,,2026-07-01T16:58:50.814984+00:00
sarahmccammon.bsky.social,Sarah McCammon,ok,10873,82,2026-05-14T11:55:45.457Z,,2026-07-01T16:58:51.167835+00:00
profsamperry.bsky.social,Samuel Perry,ok,5933,741,2026-06-16T12:40:06.367Z,,2026-07-01T16:58:51.527025+00:00
bethallisonbarr.bsky.social,Beth Allison Barr,ok,7510,480,2025-03-30T21:00:50.894Z,,2026-07-01T16:58:51.903119+00:00
mikecosper.bsky.social,Mike Cosper,ok,945,14,2024-11-25T19:16:31.144Z,,2026-07-01T16:58:52.377150+00:00
preetbharara.bsky.social,Preet Bharara,ok,75108,97,2024-11-16T12:56:57.871Z,,2026-07-01T16:58:52.787717+00:00
