name,rss_url,platform,error_reason
Fred Wilson,https://avc.xyz/feed,Website,PARSE_ERROR: <unknown>:2:0: syntax error
Florian Sohnke,https://www.chicagocontrarian.com/about/feed,Website,PARSE_ERROR: <unknown>:14:2: mismatched tag
Geoffrey A. Fowler,https://geoffreyafowler.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:30:133: not well-formed (invalid token)
H Kapp-Klote,https://hs-newsletter-e91163.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:2:0: syntax error
Greg Palast,https://www.gregpalast.com/feed,Website,PARSE_ERROR: <unknown>:81:2: mismatched tag
Grady Hillhouse,https://practical.engineering/feed,Website,PARSE_ERROR: <unknown>:2:0: syntax error
Garrett Graff,https://www.doomsdayscenario.co/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:109:918: not well-formed (invalid token)
Hanna Raskin,https://thefoodsection.com/feed,Website,PARSE_ERROR: <unknown>:81:2: mismatched tag
Henok Mengistu,https://ethiopique.com/feed,Website,PARSE_ERROR: <unknown>:2:1326: not well-formed (invalid token)
Graciela Martin,https://gen33news.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Hetty Lui McKinnon,https://hettymckinnon.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:237:6: mismatched tag
Jasmine Enberg,https://scalablepod.co/feed,Newsletter - Beehiiv,PARSE_ERROR: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
Jason Kottke,https://kottke.org/feed,Website,PARSE_ERROR: <unknown>:57:37: not well-formed (invalid token)
Janko Roettgers,https://www.lowpass.cc/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Jeff Eager,oregonroundup.com/feed,Website,PARSE_ERROR: <unknown>:2:17: not well-formed (invalid token)
Jeffrey Seglin,jeffreyseglin.blogspot.com/feed,Website,PARSE_ERROR: <unknown>:2:26: not well-formed (invalid token)
Jacob Simon,https://www.instagram.com/jacobsimonsays/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:4:90480: not well-formed (invalid token)
Jason Del Rey,https://www.readtheaisle.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
James Cave,https://thejiffy.xyz/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Joanna Stern,thisismynextthing.com/feed,Website,PARSE_ERROR: <unknown>:2:21: not well-formed (invalid token)
Jared Dashevsky,https://www.healthcarehuddle.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:344:8592: not well-formed (invalid token)
Joe Doyle,https://overslotbaseball.com/feed,Website,PARSE_ERROR: <unknown>:3:0: syntax error
Jeremy Scahill,https://www.dropsitenews.com/about/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:226:96: not well-formed (invalid token)
John Gruber,https://daringfireball.net/feed,Website,PARSE_ERROR: <unknown>:21:2: mismatched tag
Jeremy Klaszus,https://www.sprawlcalgary.com/feed,Website,PARSE_ERROR: <unknown>:8:66: not well-formed (invalid token)
Jonathan Schwabish,https://policyviz.substack.com?r=1orch&utm_medium=ios&utm_source=profile/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:234:6: mismatched tag
Jeff Benjamin,https://the-kpop-crossover.beehiiv.com/subscribe/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:162:8592: not well-formed (invalid token)
Julie Fratantoni Phd,https://drjuliefratantoni.substack.com/account/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:172:6: mismatched tag
Julia Barton,https://continuous-wave.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:99:8465: not well-formed (invalid token)
Julie Holstein,https://www.brooklynward6.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Kaya Yurieff,https://scalablepod.co/feed,Newsletter - Beehiiv,PARSE_ERROR: <urlopen error [SSL: TLSV1_ALERT_PROTOCOL_VERSION] tlsv1 alert protocol version (_ssl.c:1129)>
K Kaufmann,https://electrifynews.beehiiv.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Katharine Hayhoe,https://katharinehayhoe.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:236:6: mismatched tag
Lawrence Pintak,https://lawrencepintak.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
Laura Weffer Cifuentes,https://estaeslacosa.com/feed,Website,PARSE_ERROR: <unknown>:2:1326: not well-formed (invalid token)
Kerstin Hasse,https://www.hassemitliebe.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Kyle Chan,https://www.high-capacity.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:178:96: not well-formed (invalid token)
Lachlan Cartwright,https://www.breakermedia.com/feed,Newsletter - Beehiiv,PARSE_ERROR: <unknown>:94:8465: not well-formed (invalid token)
Lia Haberman,https://liahaberman.substack.com/feed,Newsletter - Substack,PARSE_ERROR: <unknown>:2:0: syntax error
